DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,59.267785716415325
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,25.966666666666672
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,1.0009999123575255
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,51.024386585391184
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,25.026315789473685
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,59.30460546729639
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,25.930833333333336
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,1.000999694097773
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,66.58512075300355
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,59.57433420381515
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,25.779166666666665
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,1.0009989322971298
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,66.50157078816598
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,59.32282143834293
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,26.142500000000002
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,1.0009962733607158
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,60.567078097356536
agnews,rcnn,taso_l1_e20_w0_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,24.960526315789476
