DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,1,TRAIN,LOSS,1.5363657302474976
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,1,TRAIN,ACC1,43.616
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,1,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,1,VALID,LOSS,1.8255890193939208
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,1,VALID,ACC1,39.78
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,2,TRAIN,LOSS,1.02930807138443
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,2,TRAIN,ACC1,63.022
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,2,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,2,VALID,LOSS,1.103302214717865
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,2,VALID,ACC1,62.4
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,3,TRAIN,LOSS,0.8407830195808411
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,3,TRAIN,ACC1,70.212
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,3,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,3,VALID,LOSS,1.0154283192634583
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,3,VALID,ACC1,66.29
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,4,TRAIN,LOSS,0.7378535055351257
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,4,TRAIN,ACC1,73.858
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,4,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,4,VALID,LOSS,0.7760297682762146
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,4,VALID,ACC1,72.39999999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,5,TRAIN,LOSS,0.652991877193451
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,5,TRAIN,ACC1,76.97
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,5,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,5,VALID,LOSS,0.9578559691429138
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,5,VALID,ACC1,69.99
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,6,TRAIN,LOSS,0.5851762897539139
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,6,TRAIN,ACC1,79.47999999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,6,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,6,VALID,LOSS,0.6456112296104431
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,6,VALID,ACC1,78.03
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,7,TRAIN,LOSS,0.5320120704650879
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,7,TRAIN,ACC1,81.294
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,7,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,7,VALID,LOSS,0.6916768325805664
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,7,VALID,ACC1,76.89
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,8,TRAIN,LOSS,0.49100400277137757
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,8,TRAIN,ACC1,82.77600000000001
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,8,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,8,VALID,LOSS,0.599978062915802
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,8,VALID,ACC1,79.92
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,9,TRAIN,LOSS,0.4504978421020508
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,9,TRAIN,ACC1,84.16799999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,9,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,9,VALID,LOSS,0.6725715840339661
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,9,VALID,ACC1,78.79
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,10,TRAIN,LOSS,0.4220205629730225
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,10,TRAIN,ACC1,85.286
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,10,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,10,VALID,LOSS,0.5223809961557389
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,10,VALID,ACC1,82.65
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,11,TRAIN,LOSS,0.3932518425178528
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,11,TRAIN,ACC1,86.386
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,11,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,11,VALID,LOSS,0.4909576907157898
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,11,VALID,ACC1,83.54
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,12,TRAIN,LOSS,0.3677079561805725
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,12,TRAIN,ACC1,87.17399999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,12,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,12,VALID,LOSS,0.5327861902713775
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,12,VALID,ACC1,82.78
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,13,TRAIN,LOSS,0.3490019297027588
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,13,TRAIN,ACC1,87.82799999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,13,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,13,VALID,LOSS,0.5739089880943299
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,13,VALID,ACC1,81.93
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,14,TRAIN,LOSS,0.32732624450683595
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,14,TRAIN,ACC1,88.57199999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,14,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,14,VALID,LOSS,0.6164860946655274
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,14,VALID,ACC1,81.25
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,15,TRAIN,LOSS,0.3090340750980377
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,15,TRAIN,ACC1,89.122
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,15,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,15,VALID,LOSS,0.4678406055450439
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,15,VALID,ACC1,85.18
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,16,TRAIN,LOSS,0.2892007366657257
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,16,TRAIN,ACC1,89.922
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,16,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,16,VALID,LOSS,0.5220311514854431
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,16,VALID,ACC1,83.50999999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,17,TRAIN,LOSS,0.27343407610416415
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,17,TRAIN,ACC1,90.522
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,17,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,17,VALID,LOSS,0.44801759176254274
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,17,VALID,ACC1,86.07000000000001
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,18,TRAIN,LOSS,0.26208432600975035
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,18,TRAIN,ACC1,90.854
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,18,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,18,VALID,LOSS,0.47492926864624024
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,18,VALID,ACC1,85.28
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,19,TRAIN,LOSS,0.24673800407409668
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,19,TRAIN,ACC1,91.36999999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,19,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,19,VALID,LOSS,0.5135390951156616
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,19,VALID,ACC1,84.92999999999999
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,20,TRAIN,LOSS,0.23482903960227966
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,20,TRAIN,ACC1,91.664
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,20,HYPER,LR,0.01
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,20,VALID,LOSS,0.5152599467277527
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,20,VALID,ACC1,84.37
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,21,TRAIN,LOSS,0.22480783483982086
cifar10,resnet50,adagrad_l0.01_e100_w0_d0_a0,1,21,TRAIN,ACC1,92.116
