DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,1,TRAIN,LOSS,2.00340524559021
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,1,TRAIN,ACC1,28.781999999999996
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,1,HYPER,LR,0.05
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,1,VALID,LOSS,2.6541730529785155
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,1,VALID,ACC1,20.130000000000003
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,2,TRAIN,LOSS,1.584287717666626
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,2,TRAIN,ACC1,41.05799999999999
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,2,HYPER,LR,0.05
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,2,VALID,LOSS,2.154433172225952
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,2,VALID,ACC1,31.230000000000004
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,3,TRAIN,LOSS,1.3390943190193176
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,3,TRAIN,ACC1,50.928
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,3,HYPER,LR,0.05
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,3,VALID,LOSS,1.3358145595550537
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,3,VALID,ACC1,52.47999999999999
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,4,TRAIN,LOSS,1.1484693545913696
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,4,TRAIN,ACC1,58.51
cifar10,resnet50,adagrad_l0.05_e100_w0_d0_a0.1,1,4,HYPER,LR,0.05
