DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,1,TRAIN,LOSS,1.9691592003631593
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,1,TRAIN,ACC1,29.881999999999998
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,1,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,1,VALID,LOSS,3.546320207977295
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,1,VALID,ACC1,15.949999999999998
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,2,TRAIN,LOSS,1.4273297688674926
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,2,TRAIN,ACC1,47.022
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,2,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,2,VALID,LOSS,2.318635479736328
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,2,VALID,ACC1,35.27
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,3,TRAIN,LOSS,1.122107576675415
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,3,TRAIN,ACC1,59.292
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,3,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,3,VALID,LOSS,1.4604670156478883
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,3,VALID,ACC1,52.580000000000005
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,4,TRAIN,LOSS,0.9458460772323608
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,4,TRAIN,ACC1,66.196
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,4,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,4,VALID,LOSS,1.2576036911010742
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,4,VALID,ACC1,58.33999999999999
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,5,TRAIN,LOSS,0.823592356338501
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,5,TRAIN,ACC1,70.704
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,5,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,5,VALID,LOSS,1.5067027154922485
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,5,VALID,ACC1,55.309999999999995
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,6,TRAIN,LOSS,0.7221986790275574
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,6,TRAIN,ACC1,74.586
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,6,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,6,VALID,LOSS,1.1302779558181764
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,6,VALID,ACC1,65.67
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,7,TRAIN,LOSS,0.6301957794952393
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,7,TRAIN,ACC1,77.98
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,7,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,7,VALID,LOSS,3.012991213607788
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,7,VALID,ACC1,42.03
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,8,TRAIN,LOSS,0.5637345977401733
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,8,TRAIN,ACC1,80.352
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,8,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,8,VALID,LOSS,0.8208571454048157
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,8,VALID,ACC1,73.89
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,9,TRAIN,LOSS,0.505128134727478
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,9,TRAIN,ACC1,82.56
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,9,HYPER,LR,0.1
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,9,VALID,LOSS,0.7608300092697143
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,9,VALID,ACC1,74.66
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,10,TRAIN,LOSS,0.459719873790741
cifar10,resnet50,adagrad_l0.1_e100_w0.0001_d0_a0.1,1,10,TRAIN,ACC1,84.032
