DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,1,TRAIN,LOSS,4.404522045974732
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,1,TRAIN,ACC1,19.754000000000005
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,1,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,1,VALID,LOSS,3.264924523925781
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,1,VALID,ACC1,16.390000000000004
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,2,TRAIN,LOSS,1.8012844319152832
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,2,TRAIN,ACC1,30.903999999999996
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,2,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,2,VALID,LOSS,1.8556713890075685
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,2,VALID,ACC1,31.510000000000005
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,3,TRAIN,LOSS,1.6670311302947998
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,3,TRAIN,ACC1,37.23800000000001
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,3,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,3,VALID,LOSS,3.229791757965088
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,3,VALID,ACC1,16.92
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,4,TRAIN,LOSS,1.525156905670166
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,4,TRAIN,ACC1,43.004
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,4,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,4,VALID,LOSS,2.5006079982757567
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,4,VALID,ACC1,30.710000000000004
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,5,TRAIN,LOSS,1.3395960917282104
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,5,TRAIN,ACC1,50.980000000000004
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,5,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0.0001_d0_a0,1,5,VALID,LOSS,2.0289737367630005
