DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,1,TRAIN,LOSS,2.126893932914734
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,1,TRAIN,ACC1,24.168
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,1,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,1,VALID,LOSS,1.8785316591262817
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,1,VALID,ACC1,31.720000000000002
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,2,TRAIN,LOSS,1.585963886604309
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,2,TRAIN,ACC1,41.504
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,2,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,2,VALID,LOSS,1.9757338592529297
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,2,VALID,ACC1,34.160000000000004
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,3,TRAIN,LOSS,1.3361827519607543
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,3,TRAIN,ACC1,51.449999999999996
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,3,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,3,VALID,LOSS,2.1446498741149904
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,3,VALID,ACC1,40.75
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,4,TRAIN,LOSS,1.0846962772369384
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,4,TRAIN,ACC1,61.136
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,4,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,4,VALID,LOSS,1.2532340703964233
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,4,VALID,ACC1,58.07
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,5,TRAIN,LOSS,0.9004854637527466
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,5,TRAIN,ACC1,68.03
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,5,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,5,VALID,LOSS,1.4300712007522582
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,5,VALID,ACC1,57.089999999999996
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,6,TRAIN,LOSS,0.7847792411994934
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,6,TRAIN,ACC1,72.348
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,6,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,6,VALID,LOSS,0.9158452828407287
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,6,VALID,ACC1,68.86
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,7,TRAIN,LOSS,0.6961383831977844
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,7,TRAIN,ACC1,75.566
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,7,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,7,VALID,LOSS,0.9713314149856568
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,7,VALID,ACC1,68.13
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,8,TRAIN,LOSS,0.6176389777374267
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,8,TRAIN,ACC1,78.606
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,8,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,8,VALID,LOSS,0.6898617133140564
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,8,VALID,ACC1,75.82
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,9,TRAIN,LOSS,0.5482763780021668
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,9,TRAIN,ACC1,80.84599999999999
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,9,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,9,VALID,LOSS,1.07321233959198
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,9,VALID,ACC1,67.02
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,10,TRAIN,LOSS,0.5033465715408325
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,10,TRAIN,ACC1,82.692
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0.1,1,10,HYPER,LR,1.0
