DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,1,TRAIN,LOSS,10.73552012046814
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,1,TRAIN,ACC1,23.682000000000002
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,1,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,1,VALID,LOSS,2.3705159675598146
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,1,VALID,ACC1,21.830000000000005
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,2,TRAIN,LOSS,1.765418091506958
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,2,TRAIN,ACC1,33.918000000000006
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,2,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,2,VALID,LOSS,1.8243326892852783
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,2,VALID,ACC1,36.12
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,3,TRAIN,LOSS,1.6521450691986084
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,3,TRAIN,ACC1,38.82600000000001
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,3,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,3,VALID,LOSS,2.17331466217041
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,3,VALID,ACC1,37.1
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,4,TRAIN,LOSS,1.5337175132369996
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,4,TRAIN,ACC1,43.757999999999996
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,4,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,4,VALID,LOSS,2.732760025405884
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,4,VALID,ACC1,41.669999999999995
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,5,TRAIN,LOSS,1.4267637867355347
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,5,TRAIN,ACC1,47.940000000000005
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,5,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,5,VALID,LOSS,1.6438110851287842
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,5,VALID,ACC1,42.11
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,6,TRAIN,LOSS,1.3384330755615235
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,6,TRAIN,ACC1,51.635999999999996
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,6,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,6,VALID,LOSS,1.267214425086975
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,6,VALID,ACC1,54.96
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,7,TRAIN,LOSS,1.253406104736328
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,7,TRAIN,ACC1,54.854
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,7,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,7,VALID,LOSS,1.6685591300964355
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,7,VALID,ACC1,44.57
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,8,TRAIN,LOSS,1.1743589474105836
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,8,TRAIN,ACC1,57.812
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,8,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,8,VALID,LOSS,1.3890835638046264
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,8,VALID,ACC1,53.02
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,9,TRAIN,LOSS,1.0995766562652587
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,9,TRAIN,ACC1,60.958
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,9,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,9,VALID,LOSS,1.7382330905914307
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,9,VALID,ACC1,44.620000000000005
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,10,TRAIN,LOSS,1.0282276314544678
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,10,TRAIN,ACC1,63.51
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,10,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,10,VALID,LOSS,1.4197098587036132
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,10,VALID,ACC1,51.95000000000001
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,11,TRAIN,LOSS,0.9689926001358032
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,11,TRAIN,ACC1,65.574
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,11,HYPER,LR,1.0
cifar10,resnet50,adagrad_l1_e100_w0_d0_a0,1,11,VALID,LOSS,0.9735519927978515
