DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,2.0128602787017824
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,27.3
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,1,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.8662462575912475
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,1,VALID,ACC1,32.60999999999999
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.86985521068573
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,32.62199999999999
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,2,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,2,VALID,LOSS,1.7861341737747192
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,2,VALID,ACC1,35.39
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.7901171173858643
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,35.14000000000001
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,3,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,3,VALID,LOSS,1.7019669803619384
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,3,VALID,ACC1,38.42
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.6989197801589966
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,38.70400000000001
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,4,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,4,VALID,LOSS,1.6041410053253173
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,4,VALID,ACC1,41.36
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,1.6012097928237916
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,41.894
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,5,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,5,VALID,LOSS,1.5189973768234253
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,5,VALID,ACC1,43.99999999999999
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,1.5210023977279663
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,44.76599999999999
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,6,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,6,VALID,LOSS,1.4406049655914306
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,6,VALID,ACC1,47.040000000000006
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,1.4554163775634765
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,47.586
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,7,HYPER,LR,1e-05
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,7,VALID,LOSS,1.3765493883132935
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,7,VALID,ACC1,49.49
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,1.3997623453903199
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,49.332
cifar10,resnet50,adam_l0.00001_e100_w0.0001_at_bf0.9_bs0.99,1,8,HYPER,LR,1e-05
