DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.648174038619995
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,39.356
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.3815619689941405
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,47.89
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.2468718376922607
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,54.709999999999994
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.1150317756652832
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,59.98
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.0628318364143372
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,61.87199999999999
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.9891396371841431
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,65.13
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.9360430345916748
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,66.762
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.8893512174606323
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,68.35
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.8344582699966431
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,70.256
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.8247867903709412
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,71.30000000000001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.7445099678993226
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,73.656
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.8162813622474671
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,71.78
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.6694534012794494
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,76.474
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.7792504336833954
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,74.00999999999999
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.6135556757354736
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,78.572
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.6761595250129699
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,77.35
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.5627528753089904
cifar10,resnet50,adam_l0.0001_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,80.292
