DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.648428371734619
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,39.327999999999996
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.3822412588119506
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,47.51
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.2906889422225951
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,53.06999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.1688712133407593
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,58.10999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.128759336719513
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,59.388
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,1.0594080394744874
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,62.36999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.0064139059448243
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,64.096
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.9868123119354248
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,65.21000000000001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.9105603835296631
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,67.508
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,5,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.8901651061058045
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,ACC1,68.27
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.8327161952018738
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,70.19800000000001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,6,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.8723219436645507
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,6,VALID,ACC1,69.65
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.7682335229873657
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,72.69
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,7,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.8212360050678253
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,7,VALID,ACC1,71.89999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.7101116854858398
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,74.924
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,8,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.7234681756019592
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,8,VALID,ACC1,75.21
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.6545642545318604
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,76.974
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,9,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,9,VALID,LOSS,0.7166156269073486
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,9,VALID,ACC1,75.46
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.6030785160636902
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,78.86999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,10,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,10,VALID,LOSS,0.6640685535907745
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,10,VALID,ACC1,77.38000000000001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.5616230911445618
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,11,TRAIN,ACC1,80.41199999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,11,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,11,VALID,LOSS,0.5760632522583008
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,11,VALID,ACC1,80.3
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.5278056585693359
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,12,TRAIN,ACC1,81.63
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,12,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,12,VALID,LOSS,0.5588294514656067
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,12,VALID,ACC1,81.02000000000001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.4980383444404602
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,13,TRAIN,ACC1,82.75399999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,13,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,13,VALID,LOSS,0.550918762588501
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,13,VALID,ACC1,81.47999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,14,TRAIN,LOSS,0.4693743229293823
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,14,TRAIN,ACC1,83.69
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,14,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,14,VALID,LOSS,0.5533573710441589
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,14,VALID,ACC1,81.78999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,15,TRAIN,LOSS,0.4414620629310608
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,15,TRAIN,ACC1,84.568
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,15,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,15,VALID,LOSS,0.5444771958827972
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,15,VALID,ACC1,81.97
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,16,TRAIN,LOSS,0.4195599720573425
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,16,TRAIN,ACC1,85.31
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,16,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,16,VALID,LOSS,0.5086791632652282
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,16,VALID,ACC1,83.13000000000001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,17,TRAIN,LOSS,0.39821758728981016
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,17,TRAIN,ACC1,85.98
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,17,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,17,VALID,LOSS,0.4874772658824921
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,17,VALID,ACC1,83.59
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,18,TRAIN,LOSS,0.3764067198085785
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,18,TRAIN,ACC1,86.898
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,18,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,18,VALID,LOSS,0.4964214609146118
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,18,VALID,ACC1,83.64
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,19,TRAIN,LOSS,0.3551054954910278
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,19,TRAIN,ACC1,87.594
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,19,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,19,VALID,LOSS,0.49601913709640505
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,19,VALID,ACC1,84.17999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,20,TRAIN,LOSS,0.3383147318077087
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,20,TRAIN,ACC1,88.21600000000001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,20,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,20,VALID,LOSS,0.4391574117660522
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,20,VALID,ACC1,85.59
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,21,TRAIN,LOSS,0.3231515868663788
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,21,TRAIN,ACC1,88.678
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,21,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,21,VALID,LOSS,0.42315633964538574
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,21,VALID,ACC1,86.11999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,22,TRAIN,LOSS,0.3021631343364716
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,22,TRAIN,ACC1,89.598
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,22,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,22,VALID,LOSS,0.46034943225383756
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,22,VALID,ACC1,85.38
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,23,TRAIN,LOSS,0.28883902893066404
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,23,TRAIN,ACC1,89.816
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,23,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,23,VALID,LOSS,0.42788767380714415
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,23,VALID,ACC1,85.94999999999999
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,24,TRAIN,LOSS,0.27298582898139956
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,24,TRAIN,ACC1,90.534
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,24,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,24,VALID,LOSS,0.4490177221298218
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,24,VALID,ACC1,85.77
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,25,TRAIN,LOSS,0.25722768373012544
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,25,TRAIN,ACC1,90.97
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,25,HYPER,LR,0.0001
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,25,VALID,LOSS,0.4270248598575592
cifar10,resnet50,adam_l0.0001_e100_w0_af_bf0.9_bs0.99,1,25,VALID,ACC1,86.72
