DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.4495222227096558
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,46.675999999999995
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.3282441641807556
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,55.3
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.0147455857849121
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,63.55800000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,1.0174938184738158
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,64.9
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.828896768913269
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,70.604
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.879628646850586
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,70.53
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.6999293371009827
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,75.462
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.6863076612472534
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,76.32
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.6016725198554993
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,78.914
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.6113586416244506
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,79.36999999999999
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.5274613148117065
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,81.692
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.6049545440673828
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,79.65
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.47577039173126223
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,83.568
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,7,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.532531843471527
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,7,VALID,ACC1,82.08
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.43665887759208677
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,84.864
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,8,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.5020749769210815
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,8,VALID,ACC1,83.14
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.3972559492588043
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,86.16
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,9,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.42747968816757204
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,9,VALID,ACC1,85.72
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.3638841513442993
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,10,TRAIN,ACC1,87.364
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,10,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,10,VALID,LOSS,0.47924077014923094
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,10,VALID,ACC1,84.46000000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.3395548212432861
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,11,TRAIN,ACC1,88.27000000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,11,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,11,VALID,LOSS,0.4055877805233002
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,11,VALID,ACC1,86.5
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.3106967232751846
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,12,TRAIN,ACC1,89.28399999999999
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,12,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,12,VALID,LOSS,0.36664651746749877
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,12,VALID,ACC1,87.89
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.29212312846183774
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,13,TRAIN,ACC1,89.79599999999999
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,13,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,13,VALID,LOSS,0.3808511510372162
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,13,VALID,ACC1,87.5
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,14,TRAIN,LOSS,0.2699858654117584
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,14,TRAIN,ACC1,90.51400000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,14,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,14,VALID,LOSS,0.3935025565624237
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,14,VALID,ACC1,87.42
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,15,TRAIN,LOSS,0.25311453472614287
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,15,TRAIN,ACC1,90.99000000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,15,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,15,VALID,LOSS,0.3862884519577026
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,15,VALID,ACC1,87.91
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,16,TRAIN,LOSS,0.23622563189506532
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,16,TRAIN,ACC1,91.778
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,16,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,16,VALID,LOSS,0.3473725848197937
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,16,VALID,ACC1,88.9
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,17,TRAIN,LOSS,0.21913496524572373
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,17,TRAIN,ACC1,92.252
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,17,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,17,VALID,LOSS,0.34541204557418825
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,17,VALID,ACC1,88.63
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,18,TRAIN,LOSS,0.20341502126216887
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,18,TRAIN,ACC1,92.786
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,18,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,18,VALID,LOSS,0.3773199074745178
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,18,VALID,ACC1,88.59
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,19,TRAIN,LOSS,0.1932117477464676
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,19,TRAIN,ACC1,93.246
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,19,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,19,VALID,LOSS,0.37358242406845094
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,19,VALID,ACC1,88.52
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,20,TRAIN,LOSS,0.181705478348732
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,20,TRAIN,ACC1,93.552
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,20,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,20,VALID,LOSS,0.360377016043663
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,20,VALID,ACC1,89.01
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,21,TRAIN,LOSS,0.16686286905765532
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,21,TRAIN,ACC1,94.118
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,21,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,21,VALID,LOSS,0.33669933362007143
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,21,VALID,ACC1,89.96
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,22,TRAIN,LOSS,0.1570921684908867
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,22,TRAIN,ACC1,94.584
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,22,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,22,VALID,LOSS,0.3311027007102966
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,22,VALID,ACC1,90.21000000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,23,TRAIN,LOSS,0.14606604699850081
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,23,TRAIN,ACC1,94.892
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,23,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,23,VALID,LOSS,0.3357207062959671
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,23,VALID,ACC1,89.82
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,24,TRAIN,LOSS,0.13815375025749208
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,24,TRAIN,ACC1,95.16
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,24,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,24,VALID,LOSS,0.35142888514995574
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,24,VALID,ACC1,89.48
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,25,TRAIN,LOSS,0.12781589453697204
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,25,TRAIN,ACC1,95.448
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,25,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,25,VALID,LOSS,0.3370813630104065
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,25,VALID,ACC1,90.27000000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,26,TRAIN,LOSS,0.12180520988345146
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,26,TRAIN,ACC1,95.74000000000001
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,26,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,26,VALID,LOSS,0.3482378970623016
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,26,VALID,ACC1,90.14999999999999
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,27,TRAIN,LOSS,0.11242541370987892
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,27,TRAIN,ACC1,96.04
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,27,HYPER,LR,0.0005
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,27,VALID,LOSS,0.3400861191511154
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,27,VALID,ACC1,90.51
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,28,TRAIN,LOSS,0.10629472131252289
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,28,TRAIN,ACC1,96.186
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,28,HYPER,LR,0.0005
