DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,1.9035108150482178
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,31.766000000000005
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,1,HYPER,LR,0.04999999997982581
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,1,VALID,LOSS,1.525166588973999
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,1,VALID,ACC1,39.6
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,1.3252770756149292
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,51.522
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,2,HYPER,LR,0.04998763244172523
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,2,VALID,LOSS,1.220694939994812
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,2,VALID,ACC1,56.39000000000001
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,1.0055597067260742
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,64.006
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,3,HYPER,LR,0.0499506051271981
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,3,VALID,LOSS,1.119817915916443
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,3,VALID,ACC1,62.19
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,0.8389547834968567
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,70.27399999999999
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,4,HYPER,LR,0.04988895457773349
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,4,VALID,LOSS,0.7867646600723267
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,4,VALID,ACC1,72.24999999999999
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,0.6982571799850464
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,75.432
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,5,HYPER,LR,0.04980274163498055
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,5,VALID,LOSS,0.7669268139839173
cifar10,resnet50,cos_l0.05_e100_w0.0001_m0.9_nf,1,5,VALID,ACC1,75.11
