DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,1,TRAIN,LOSS,1.8352465148162842
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,1,TRAIN,ACC1,33.919999999999995
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,1,HYPER,LR,0.04999999997982581
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,1,VALID,LOSS,1.511895175933838
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,1,VALID,ACC1,43.989999999999995
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,2,TRAIN,LOSS,1.2651048005676269
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,2,TRAIN,ACC1,54.152
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,2,HYPER,LR,0.04998763244172523
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,2,VALID,LOSS,1.2017080640792848
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,2,VALID,ACC1,57.940000000000005
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,3,TRAIN,LOSS,0.980334326839447
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,3,TRAIN,ACC1,64.896
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,3,HYPER,LR,0.0499506051271981
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,3,VALID,LOSS,1.2347761249542237
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,3,VALID,ACC1,59.040000000000006
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,4,TRAIN,LOSS,0.8379053406143189
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,4,TRAIN,ACC1,70.258
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,4,HYPER,LR,0.04988895457773349
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,4,VALID,LOSS,0.8170914784908294
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,4,VALID,ACC1,71.22
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,5,TRAIN,LOSS,0.7236906457901001
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,5,TRAIN,ACC1,74.49600000000001
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,5,HYPER,LR,0.04980274163498055
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,5,VALID,LOSS,0.9436456392288208
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,5,VALID,ACC1,69.72
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,6,TRAIN,LOSS,0.6149632847881317
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,6,TRAIN,ACC1,78.566
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,6,HYPER,LR,0.049692051380705184
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,6,VALID,LOSS,0.828302684020996
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,6,VALID,ACC1,72.63999999999999
cifar10,resnet50,cos_l0.05_e100_w0_m0.9_nt,1,7,TRAIN,LOSS,0.5417950345611572
