DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,1,TRAIN,LOSS,1.8631664347076415
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,1,TRAIN,ACC1,33.918000000000006
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,1,HYPER,LR,0.09999999995965161
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,1,VALID,LOSS,1.4928290879249573
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,1,VALID,ACC1,45.78
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,2,TRAIN,LOSS,1.2128099042129517
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,2,TRAIN,ACC1,56.052
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,2,HYPER,LR,0.09997526488345046
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,2,VALID,LOSS,1.0479288232803345
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,2,VALID,ACC1,62.040000000000006
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,3,TRAIN,LOSS,0.936147402381897
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,3,TRAIN,ACC1,66.77
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,3,HYPER,LR,0.0999012102543962
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,3,VALID,LOSS,0.9753473705291748
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,3,VALID,ACC1,66.53
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,4,TRAIN,LOSS,0.7974009049797058
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,4,TRAIN,ACC1,71.75
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,4,HYPER,LR,0.09977790915546698
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,4,VALID,LOSS,0.7538635710716247
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,4,VALID,ACC1,73.17
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,5,TRAIN,LOSS,0.6832824751091003
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,5,TRAIN,ACC1,76.026
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,5,HYPER,LR,0.0996054832699611
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,5,VALID,LOSS,0.6857808272361755
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,5,VALID,ACC1,76.91
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,6,TRAIN,LOSS,0.5819798384761811
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,6,TRAIN,ACC1,79.598
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,6,HYPER,LR,0.09938410276141037
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,6,VALID,LOSS,0.6049471837997437
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,6,VALID,ACC1,78.81
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,7,TRAIN,LOSS,0.5170716534233093
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,7,TRAIN,ACC1,82.082
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,7,HYPER,LR,0.09911398610564909
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,7,VALID,LOSS,0.5792883486747742
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,7,VALID,ACC1,80.47
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,8,TRAIN,LOSS,0.46401852500915525
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,8,TRAIN,ACC1,83.896
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,8,HYPER,LR,0.09879539987520494
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,8,VALID,LOSS,0.5305305225372314
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,8,VALID,ACC1,82.06
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,9,TRAIN,LOSS,0.419899500617981
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,9,TRAIN,ACC1,85.336
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,9,HYPER,LR,0.09842865847622398
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,9,VALID,LOSS,0.4683879817962647
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,9,VALID,ACC1,84.02000000000001
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,10,TRAIN,LOSS,0.38801427372932434
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,10,TRAIN,ACC1,86.488
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,10,HYPER,LR,0.09801412383818978
cifar10,resnet50,cos_l0.1_e100_w0_m0.9_nf,1,10,VALID,LOSS,0.46717490568161013
