DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,2.5027592962646485
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,9.987999999999996
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,1,HYPER,LR,0.49999999979825804
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,1,VALID,LOSS,2.32905018119812
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,2.3165049571990965
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,9.933999999999997
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,2,HYPER,LR,0.49987632441725227
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,2,VALID,LOSS,2.3226046058654783
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,2.315687750930786
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,10.031999999999996
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,3,HYPER,LR,0.499506051271981
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,3,VALID,LOSS,2.3261078826904296
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,2.316435210266113
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,9.904000000000002
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,4,HYPER,LR,0.4988895457773349
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,4,VALID,LOSS,2.330202266693115
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,4,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,2.3169892109680177
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,9.770000000000001
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,5,HYPER,LR,0.4980274163498055
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,5,VALID,LOSS,2.3082596282958985
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,5,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,2.315785202331543
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,9.840000000000003
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,6,HYPER,LR,0.4969205138070518
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,6,VALID,LOSS,2.3162550716400148
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,6,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,2.3161999779510496
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,10.258000000000001
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,7,HYPER,LR,0.4955699305282454
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,7,VALID,LOSS,2.328993042755127
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,7,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,2.3161549419403076
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,10.199999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,8,HYPER,LR,0.4939769993760247
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,8,VALID,LOSS,2.3170245811462404
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,8,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,2.1568393305206297
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,14.595999999999998
cifar10,resnet50,cos_l0.5_e100_w0.0001_m0.9_nt,1,9,HYPER,LR,0.49214329238111987
