DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,2.466986487350464
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,10.082000000000003
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,1,HYPER,LR,0.9999999995965161
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,1,VALID,LOSS,2.3323236251831054
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,2.3239228609466553
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,10.245999999999999
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,2,HYPER,LR,0.9997526488345045
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,2,VALID,LOSS,2.3310963108062746
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,2.061325292739868
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,19.186000000000003
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,3,HYPER,LR,0.999012102543962
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,3,VALID,LOSS,2.1970853424072265
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,3,VALID,ACC1,18.400000000000006
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,1.8112230603790282
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,30.598000000000003
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,4,HYPER,LR,0.9977790915546698
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,4,VALID,LOSS,1.8343196535110473
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,4,VALID,ACC1,32.93000000000001
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,1.7216685063934327
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,35.22
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,5,HYPER,LR,0.996054832699611
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,5,VALID,LOSS,1.7015079746246338
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,5,VALID,ACC1,35.91
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,1.6132048028182984
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,40.217999999999996
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,6,HYPER,LR,0.9938410276141036
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,6,VALID,LOSS,1.5076868350982666
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,6,VALID,ACC1,45.78
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,1.4905200365447997
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,45.496
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,7,HYPER,LR,0.9911398610564908
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,7,VALID,LOSS,1.7429856386184692
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,7,VALID,ACC1,40.480000000000004
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,1.4113382551956177
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,48.814
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,8,HYPER,LR,0.9879539987520494
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,8,VALID,LOSS,1.4932212512969971
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,8,VALID,ACC1,45.37
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,1.3463069894409179
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,51.512
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,9,HYPER,LR,0.9842865847622397
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,9,VALID,LOSS,2.0841669635772706
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,9,VALID,ACC1,37.18
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,1.2855132413101196
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,54.116
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,10,HYPER,LR,0.9801412383818977
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,10,VALID,LOSS,3.664674214172363
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,10,VALID,ACC1,28.21
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,11,TRAIN,LOSS,1.2566022930908203
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,11,TRAIN,ACC1,55.45
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,11,HYPER,LR,0.9755220505674271
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,11,VALID,LOSS,1.8482042991638183
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,11,VALID,ACC1,43.42
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,12,TRAIN,LOSS,1.2250957389068604
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,12,TRAIN,ACC1,56.33200000000001
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,12,HYPER,LR,0.9704335798995192
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,12,VALID,LOSS,1.615602875328064
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,12,VALID,ACC1,48.39
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,13,TRAIN,LOSS,1.2056104814529418
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,13,TRAIN,ACC1,57.19799999999999
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,13,HYPER,LR,0.9648808480843849
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,13,VALID,LOSS,4.711463821411133
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,13,VALID,ACC1,19.27
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,14,TRAIN,LOSS,1.1808324429321289
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,14,TRAIN,ACC1,58.12200000000001
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,14,HYPER,LR,0.9588693349979365
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,14,VALID,LOSS,1.5595855390548705
cifar10,resnet50,cos_l1_e100_w0.0001_m0.9_nt,1,14,VALID,ACC1,48.72
