DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,1,TRAIN,LOSS,2.509740439224243
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,1,TRAIN,ACC1,9.882000000000001
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,1,HYPER,LR,0.9999999995965161
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,1,VALID,LOSS,2.345719535827637
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,2,TRAIN,LOSS,2.337984348220825
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,2,TRAIN,ACC1,10.194000000000003
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,2,HYPER,LR,0.9997526488345045
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,2,VALID,LOSS,2.349740983200073
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,3,TRAIN,LOSS,2.334917548675537
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,3,TRAIN,ACC1,10.185999999999995
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,3,HYPER,LR,0.999012102543962
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,3,VALID,LOSS,2.3626967094421385
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,4,TRAIN,LOSS,2.341519231491089
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,4,TRAIN,ACC1,9.709999999999997
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,4,HYPER,LR,0.9977790915546698
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,4,VALID,LOSS,2.354706929016113
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,4,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,5,TRAIN,LOSS,2.3399647438049316
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,5,TRAIN,ACC1,9.924
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,5,HYPER,LR,0.996054832699611
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,5,VALID,LOSS,2.325188198852539
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,5,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,6,TRAIN,LOSS,2.3366665785980225
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,6,TRAIN,ACC1,10.046
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,6,HYPER,LR,0.9938410276141036
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,6,VALID,LOSS,2.329089828491211
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,6,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,7,TRAIN,LOSS,2.340327433242798
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,7,TRAIN,ACC1,10.053999999999997
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,7,HYPER,LR,0.9911398610564908
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,7,VALID,LOSS,2.3518350715637206
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,7,VALID,ACC1,9.999999999999998
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,8,TRAIN,LOSS,2.3408992456817628
cifar10,resnet50,cos_l1_e100_w0_m0.9_nf,1,8,TRAIN,ACC1,9.882000000000001
