DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,1.9123670934295653
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,29.332
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.009999938544109835
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,1,VALID,LOSS,1.690713709640503
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,1,VALID,ACC1,36.41
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,1.6358584683990478
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,39.156
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.009999926424030404
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,2,VALID,LOSS,1.551079261779785
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,2,VALID,ACC1,42.510000000000005
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,1.4365876079559325
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,47.14
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.009999911913699509
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,3,VALID,LOSS,1.438439130783081
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,3,VALID,ACC1,48.81999999999999
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,1.2633209983062743
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nf_l-6_u3,1,4,TRAIN,ACC1,53.760000000000005
