DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,1.848271817932129
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,31.398000000000003
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.009999938544109835
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,1,VALID,LOSS,1.755638971710205
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,1,VALID,ACC1,34.72
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,1.5908861556625367
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,41.205999999999996
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.009999926424030404
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,2,VALID,LOSS,1.5755875162124633
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,2,VALID,ACC1,41.85
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,1.3895449693679809
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,49.364
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.009999911913699509
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,3,VALID,LOSS,1.4303504091262818
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,3,VALID,ACC1,49.61
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,1.212446782836914
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,56.274
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.009999894541734802
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,4,VALID,LOSS,1.115317031097412
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,4,VALID,ACC1,60.980000000000004
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,1.0762417316436768
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,61.227999999999994
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,5,HYPER,LR,0.009999873743796411
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,5,VALID,LOSS,1.1572808908462524
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,5,VALID,ACC1,59.61000000000001
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,6,TRAIN,LOSS,0.9674986711502075
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,6,TRAIN,ACC1,65.336
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,6,HYPER,LR,0.009999848844257237
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,6,VALID,LOSS,1.1313954439163207
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,6,VALID,ACC1,61.27
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,7,TRAIN,LOSS,0.8862526902770996
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,7,TRAIN,ACC1,68.54199999999999
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,7,HYPER,LR,0.009999819034259698
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,7,VALID,LOSS,1.2037402134895325
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,7,VALID,ACC1,60.89
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,8,TRAIN,LOSS,0.8099970490074158
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,8,TRAIN,ACC1,71.21600000000001
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,8,HYPER,LR,0.009999783345446812
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,8,VALID,LOSS,0.8488381586074829
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,8,VALID,ACC1,70.75
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,9,TRAIN,LOSS,0.7383056871795655
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,9,TRAIN,ACC1,73.896
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,9,HYPER,LR,0.009999740618515409
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,9,VALID,LOSS,0.9182529731750488
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,9,VALID,ACC1,70.02999999999999
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,10,TRAIN,LOSS,0.674547635383606
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,10,TRAIN,ACC1,76.286
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,10,HYPER,LR,0.0099996894655715
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,10,VALID,LOSS,0.7043126751422882
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,10,VALID,ACC1,76.31
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,11,TRAIN,LOSS,0.6199983535957336
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,11,TRAIN,ACC1,78.598
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,11,HYPER,LR,0.009999628225067208
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,11,VALID,LOSS,0.740246521615982
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,11,VALID,ACC1,75.46
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,12,TRAIN,LOSS,0.5733557660579681
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,12,TRAIN,ACC1,80.238
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,12,HYPER,LR,0.009999554907858723
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,12,VALID,LOSS,0.6384367990493774
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,12,VALID,ACC1,78.67999999999999
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,13,TRAIN,LOSS,0.5399732703781128
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,13,TRAIN,ACC1,81.28
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,13,HYPER,LR,0.009999467132637779
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,13,VALID,LOSS,0.6149576245784759
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,13,VALID,ACC1,80.01
cifar10,resnet50,htd_l0.01_e100_w0_m0.9_nt_l-6_u3,1,14,TRAIN,LOSS,0.5028375991630554
