DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,1.9123035047912598
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,32.118
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.09999938544109836
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,LOSS,1.8411494529724122
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,ACC1,38.74999999999999
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,1.2479535179519654
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,54.733999999999995
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.09999926424030404
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,LOSS,1.0561222244262696
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,ACC1,61.47
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,0.9597549237060546
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,65.888
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.0999991191369951
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,LOSS,1.0212947355270385
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,ACC1,64.71000000000001
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,0.8161351723480225
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,71.09
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.09999894541734802
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,LOSS,0.7704983093261719
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,ACC1,72.96000000000001
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,0.7217239511299133
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,74.418
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,HYPER,LR,0.09999873743796411
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,VALID,LOSS,0.8045111180305481
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,VALID,ACC1,73.35000000000001
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,TRAIN,LOSS,0.6234998968410492
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,TRAIN,ACC1,78.122
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,HYPER,LR,0.09999848844257238
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,VALID,LOSS,0.6522306476593017
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,VALID,ACC1,77.09
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,TRAIN,LOSS,0.5573834685134887
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,TRAIN,ACC1,80.60199999999999
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,HYPER,LR,0.099998190342597
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,VALID,LOSS,0.672758998966217
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,VALID,ACC1,77.60000000000001
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,TRAIN,LOSS,0.5112669993972778
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,TRAIN,ACC1,82.322
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,HYPER,LR,0.09999783345446811
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,VALID,LOSS,0.6327227068424225
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,VALID,ACC1,78.71000000000001
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,TRAIN,LOSS,0.47391499355316163
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,TRAIN,ACC1,83.596
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,HYPER,LR,0.0999974061851541
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,VALID,LOSS,0.5854804686546325
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,VALID,ACC1,80.42
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,TRAIN,LOSS,0.44701203068733214
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,TRAIN,ACC1,84.554
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,HYPER,LR,0.09999689465571501
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,VALID,LOSS,0.4965836082935333
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,VALID,ACC1,83.78
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,TRAIN,LOSS,0.42675882241249086
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,TRAIN,ACC1,85.198
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,HYPER,LR,0.09999628225067209
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,VALID,LOSS,0.48048220500946043
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,VALID,ACC1,83.69
