DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,2.2206651892089844
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,20.386000000000003
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.49999692720549177
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,LOSS,1.791709799003601
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,ACC1,31.35
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,1.722754244003296
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,35.56
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.4999963212015202
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,LOSS,1.6991669340133666
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,ACC1,38.7
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,1.4614233157348633
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,45.97
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.4999955956849754
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,LOSS,2.220094847869873
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,ACC1,35.83
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,1.3059619844818116
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,ACC1,53.034000000000006
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,4,HYPER,LR,0.4999947270867401
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,4,VALID,LOSS,1.349593949317932
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,4,VALID,ACC1,51.94
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,5,TRAIN,LOSS,1.1594302995300294
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,5,TRAIN,ACC1,58.894000000000005
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,5,HYPER,LR,0.4999936871898205
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,5,VALID,LOSS,1.924160127067566
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,5,VALID,ACC1,49.23
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,6,TRAIN,LOSS,1.0521755045318604
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,6,TRAIN,ACC1,63.284000000000006
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,6,HYPER,LR,0.4999924422128619
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,6,VALID,LOSS,1.2291080108642578
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,6,VALID,ACC1,58.33999999999999
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,7,TRAIN,LOSS,0.9849411096572877
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,7,TRAIN,ACC1,65.684
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,7,HYPER,LR,0.4999909517129849
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,7,VALID,LOSS,0.9646749470710755
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,7,VALID,ACC1,67.28
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,8,TRAIN,LOSS,0.932098415813446
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,8,TRAIN,ACC1,67.65
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,8,HYPER,LR,0.49998916727234055
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,8,VALID,LOSS,1.017917590713501
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,8,VALID,ACC1,66.57
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,9,TRAIN,LOSS,0.8840389513778687
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,9,TRAIN,ACC1,69.416
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,9,HYPER,LR,0.49998703092577046
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,9,VALID,LOSS,1.1879313890457153
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,9,VALID,ACC1,63.93
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,10,TRAIN,LOSS,0.8509295017242432
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,10,TRAIN,ACC1,70.66
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,10,HYPER,LR,0.49998447327857504
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,10,VALID,LOSS,0.8725665613174438
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,10,VALID,ACC1,72.05
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,11,TRAIN,LOSS,0.8268386060714722
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,11,TRAIN,ACC1,71.696
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,11,HYPER,LR,0.4999814112533604
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,11,VALID,LOSS,1.2554774003982543
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,11,VALID,ACC1,60.870000000000005
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,12,TRAIN,LOSS,0.8104357759666443
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,12,TRAIN,ACC1,72.184
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,12,HYPER,LR,0.49997774539293616
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,12,VALID,LOSS,1.227882599067688
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,12,VALID,ACC1,62.19
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,13,TRAIN,LOSS,0.8026886007690429
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,13,TRAIN,ACC1,72.39599999999999
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,13,HYPER,LR,0.4999733566318889
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,13,VALID,LOSS,1.0748038801193238
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,13,VALID,ACC1,66.58
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,14,TRAIN,LOSS,0.7729579892921448
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,14,TRAIN,ACC1,73.404
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,14,HYPER,LR,0.49996810243229917
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,14,VALID,LOSS,1.0305952934265137
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,14,VALID,ACC1,66.55
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,15,TRAIN,LOSS,0.7584750134849548
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,15,TRAIN,ACC1,74.144
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,15,HYPER,LR,0.49996181215856783
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,15,VALID,LOSS,0.9623877298355102
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,15,VALID,ACC1,69.86
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,16,TRAIN,LOSS,0.751572329120636
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,16,TRAIN,ACC1,74.288
cifar10,resnet50,htd_l0.5_e100_w0.0001_m0.9_nf_l-6_u3,1,16,HYPER,LR,0.4999542815418166
