DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,2.50568888633728
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,9.777999999999999
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.9999938544109835
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,LOSS,2.3455865631103516
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,2.3379392095947265
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,10.19
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.9999926424030404
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,LOSS,2.3496918453216553
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,2.334937814178467
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,10.184000000000005
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.9999911913699508
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,LOSS,2.3629666194915773
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,2.341631391220093
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,4,TRAIN,ACC1,9.708000000000006
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,4,HYPER,LR,0.9999894541734802
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,4,VALID,LOSS,2.3547446014404296
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,4,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,5,TRAIN,LOSS,2.241054705429077
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,5,TRAIN,ACC1,13.8
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,5,HYPER,LR,0.999987374379641
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,5,VALID,LOSS,2.2763413276672364
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,5,VALID,ACC1,19.799999999999997
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nf_l-6_u3,1,6,TRAIN,LOSS,1.948052816619873
