DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,2.2947372358703615
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,16.744000000000003
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.9999938544109835
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,LOSS,1.994547151184082
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,1,VALID,ACC1,20.699999999999996
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,1.8625110743713378
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,27.991999999999994
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.9999926424030404
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,LOSS,2.1074418334960936
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,2,VALID,ACC1,23.839999999999996
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,1.654083440093994
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,38.286
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.9999911913699508
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,LOSS,2.4175314266204833
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,3,VALID,ACC1,26.870000000000005
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,1.5089323419952392
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,44.29
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.9999894541734802
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,LOSS,1.7517800508499146
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,4,VALID,ACC1,39.459999999999994
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,1.4077908758163453
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,48.75000000000001
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,HYPER,LR,0.999987374379641
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,VALID,LOSS,5.414135578918457
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,5,VALID,ACC1,22.4
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,TRAIN,LOSS,1.3396494840240478
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,TRAIN,ACC1,51.868
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,HYPER,LR,0.9999848844257238
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,VALID,LOSS,2.185559350967407
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,6,VALID,ACC1,41.459999999999994
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,TRAIN,LOSS,1.2869545106506348
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,TRAIN,ACC1,54.238
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,HYPER,LR,0.9999819034259698
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,VALID,LOSS,1.7453876291275023
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,7,VALID,ACC1,39.55
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,TRAIN,LOSS,1.2649630099105835
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,TRAIN,ACC1,54.956
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,HYPER,LR,0.9999783345446811
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,VALID,LOSS,1.5208762231826782
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,8,VALID,ACC1,49.49
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,TRAIN,LOSS,1.2182899562454224
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,TRAIN,ACC1,56.934
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,HYPER,LR,0.9999740618515409
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,VALID,LOSS,2.179381436729431
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,9,VALID,ACC1,44.9
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,TRAIN,LOSS,1.1971936323547363
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,TRAIN,ACC1,57.772
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,HYPER,LR,0.9999689465571501
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,VALID,LOSS,1.407170747756958
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,10,VALID,ACC1,53.44
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,TRAIN,LOSS,1.1724610325622558
cifar10,resnet50,htd_l1_e100_w0.0001_m0.9_nt_l-6_u3,1,11,TRAIN,ACC1,58.658
