DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,1,TRAIN,LOSS,2.511301394577026
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,1,TRAIN,ACC1,9.816000000000003
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,1,HYPER,LR,0.9999938544109835
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,1,VALID,LOSS,2.3457096908569337
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,2,TRAIN,LOSS,2.3376730418395995
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,2,TRAIN,ACC1,10.243999999999998
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,2,HYPER,LR,0.9999926424030404
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,2,VALID,LOSS,2.349748278808594
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,3,TRAIN,LOSS,2.1897483374023436
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,3,TRAIN,ACC1,15.944000000000003
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,3,HYPER,LR,0.9999911913699508
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,3,VALID,LOSS,2.180123724746704
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,3,VALID,ACC1,21.999999999999996
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,4,TRAIN,LOSS,1.9069989582824707
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,4,TRAIN,ACC1,24.960000000000004
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,4,HYPER,LR,0.9999894541734802
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,4,VALID,LOSS,1.855508172416687
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,4,VALID,ACC1,27.33
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,5,TRAIN,LOSS,1.7910906523895265
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,5,TRAIN,ACC1,30.667999999999996
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,5,HYPER,LR,0.999987374379641
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,5,VALID,LOSS,1.7830245794296264
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,5,VALID,ACC1,34.25
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,6,TRAIN,LOSS,1.6997021896362305
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,6,TRAIN,ACC1,34.897999999999996
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,6,HYPER,LR,0.9999848844257238
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,6,VALID,LOSS,1.7707592914581298
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,6,VALID,ACC1,33.63
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,7,TRAIN,LOSS,1.5696346732330322
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,7,TRAIN,ACC1,41.144000000000005
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,7,HYPER,LR,0.9999819034259698
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,7,VALID,LOSS,1.673358122253418
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,7,VALID,ACC1,39.82
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,8,TRAIN,LOSS,1.4360249586868286
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,8,TRAIN,ACC1,47.328
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,8,HYPER,LR,0.9999783345446811
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,8,VALID,LOSS,1.326593165397644
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,8,VALID,ACC1,51.04
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,9,TRAIN,LOSS,1.2724118381118774
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,9,TRAIN,ACC1,54.372
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,9,HYPER,LR,0.9999740618515409
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,9,VALID,LOSS,1.181603119468689
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,9,VALID,ACC1,57.519999999999996
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,10,TRAIN,LOSS,1.1474125429153443
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,10,TRAIN,ACC1,59.484
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,10,HYPER,LR,0.9999689465571501
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,10,VALID,LOSS,1.101224139404297
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,10,VALID,ACC1,62.07
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,11,TRAIN,LOSS,1.0418499836730957
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,11,TRAIN,ACC1,63.412
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,11,HYPER,LR,0.9999628225067207
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,11,VALID,LOSS,1.05066413230896
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,11,VALID,ACC1,64.01
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,12,TRAIN,LOSS,0.9498289834785462
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,12,TRAIN,ACC1,66.748
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,12,HYPER,LR,0.9999554907858723
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,12,VALID,LOSS,1.1555733991622925
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,12,VALID,ACC1,62.99
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,13,TRAIN,LOSS,0.8946565271759033
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,13,TRAIN,ACC1,69.146
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,13,HYPER,LR,0.9999467132637778
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,13,VALID,LOSS,1.5986088508605958
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,13,VALID,ACC1,57.81
cifar10,resnet50,htd_l1_e100_w0_m0.9_nf_l-6_u3,1,14,TRAIN,LOSS,0.8102540832138061
