DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,2.4672035288238527
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,9.997999999999996
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.9999938544109835
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,1,VALID,LOSS,2.332366600036621
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,2.3251192558288576
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,10.09
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.9999926424030404
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,2,VALID,LOSS,2.3310729427337646
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,2.323760480117798
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,10.019999999999996
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.9999911913699508
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,3,VALID,LOSS,2.3745557243347166
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,2.3267394676208495
cifar10,resnet50,htd_l1_e100_w0_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,9.828000000000003
