DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,LOSS,1.661192720489502
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,ACC1,38.246
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,1,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,1,VALID,LOSS,2.022554174041748
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,1,VALID,ACC1,34.019999999999996
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,LOSS,1.1952971541595458
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,ACC1,56.544
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,2,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,2,VALID,LOSS,2.198586798286438
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,2,VALID,ACC1,43.55
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,LOSS,0.9925457049942017
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,ACC1,64.52
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,3,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,3,VALID,LOSS,2.3770049057006837
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,3,VALID,ACC1,41.339999999999996
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,LOSS,0.8661848150825501
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,ACC1,69.212
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,4,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,4,VALID,LOSS,1.1613846668243408
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,4,VALID,ACC1,60.88
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,5,TRAIN,LOSS,0.7619346279907226
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,5,TRAIN,ACC1,73.272
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,5,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,5,VALID,LOSS,1.959752568435669
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,5,VALID,ACC1,53.510000000000005
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,6,TRAIN,LOSS,0.6747398540306091
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,6,TRAIN,ACC1,76.52799999999999
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,6,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,6,VALID,LOSS,0.9465847791671753
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,6,VALID,ACC1,69.00999999999999
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,7,TRAIN,LOSS,0.6177743127822876
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,7,TRAIN,ACC1,78.56400000000001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,7,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,7,VALID,LOSS,1.2564511039733888
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,7,VALID,ACC1,63.17999999999999
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,8,TRAIN,LOSS,0.5837698614311219
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,8,TRAIN,ACC1,79.89
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,8,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,8,VALID,LOSS,1.0162624094963073
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,8,VALID,ACC1,68.26
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,9,TRAIN,LOSS,0.5478533378982544
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,9,TRAIN,ACC1,80.91000000000001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,9,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,9,VALID,LOSS,1.433273726272583
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,9,VALID,ACC1,63.21
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,10,TRAIN,LOSS,0.5141620041847229
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,10,TRAIN,ACC1,82.328
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,10,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,10,VALID,LOSS,0.8542947627067566
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,10,VALID,ACC1,73.64999999999999
cifar10,resnet50,rmsprop_l0.001_e100_w0.0001_m0_cf_a0.99,1,11,TRAIN,LOSS,0.4911657281303406
