DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,1.5780823335266114
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,42.157999999999994
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,1,VALID,LOSS,2.395456428146362
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,1,VALID,ACC1,31.240000000000002
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,1.0570169577789306
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,61.934
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,2,VALID,LOSS,1.8073854780197143
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,2,VALID,ACC1,48.57
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.8509948398208618
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,69.846
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,3,VALID,LOSS,1.80294312210083
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,3,VALID,ACC1,55.800000000000004
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.7246032099533081
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,74.468
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.8811638203620911
