DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,1,TRAIN,LOSS,1.5789215130233765
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,1,TRAIN,ACC1,42.01200000000001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,1,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,1,VALID,LOSS,2.5932455284118654
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,1,VALID,ACC1,30.400000000000006
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,2,TRAIN,LOSS,1.0528073615455626
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,2,TRAIN,ACC1,62.196000000000005
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,2,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,2,VALID,LOSS,1.8800598163604736
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,2,VALID,ACC1,48.839999999999996
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,3,TRAIN,LOSS,0.8535736903953552
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,3,TRAIN,ACC1,69.722
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,3,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,3,VALID,LOSS,1.2361011516571045
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,3,VALID,ACC1,62.75999999999999
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,4,TRAIN,LOSS,0.7244026014518737
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,4,TRAIN,ACC1,74.384
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,4,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,4,VALID,LOSS,0.978901922416687
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,4,VALID,ACC1,66.17999999999999
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,5,TRAIN,LOSS,0.6242750404930115
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,5,TRAIN,ACC1,78.184
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,5,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,5,VALID,LOSS,1.200606534576416
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,5,VALID,ACC1,65.84
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,6,TRAIN,LOSS,0.547098358373642
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,6,TRAIN,ACC1,80.99000000000001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,6,HYPER,LR,0.001
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,6,VALID,LOSS,0.6975690351486206
cifar10,resnet50,rmsprop_l0.001_e100_w0_m0_ct_a0.99,1,6,VALID,ACC1,77.02
