DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,1,TRAIN,LOSS,2.0140961027908326
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,1,TRAIN,ACC1,28.061999999999998
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,1,HYPER,LR,0.005
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,1,VALID,LOSS,2.404156837463379
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,1,VALID,ACC1,19.230000000000004
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,2,TRAIN,LOSS,1.4170117746734618
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,2,TRAIN,ACC1,47.414
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,2,HYPER,LR,0.005
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,2,VALID,LOSS,3.882844788360596
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,2,VALID,ACC1,32.84
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,3,TRAIN,LOSS,1.147698818283081
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,3,TRAIN,ACC1,58.79600000000001
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,3,HYPER,LR,0.005
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,3,VALID,LOSS,3.251469980239868
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,3,VALID,ACC1,30.979999999999997
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,4,TRAIN,LOSS,1.0405200230407714
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,4,TRAIN,ACC1,62.812
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,4,HYPER,LR,0.005
cifar10,resnet50,rmsprop_l0.005_e100_w0.0001_m0_ct_a0.99,1,4,VALID,LOSS,2.540733005142212
