DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,1.854392138442993
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,31.320000000000004
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,1,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,1,VALID,LOSS,1.6984878368377685
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,1,VALID,ACC1,37.23
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,1.6775989957809447
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,38.32
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,2,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,2,VALID,LOSS,1.6235038463592528
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,2,VALID,ACC1,38.79
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,1.5526031449508666
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,42.798
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,3,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,3,VALID,LOSS,1.5203507625579833
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,3,VALID,ACC1,43.94
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,1.4409992510604859
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,47.06399999999999
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,4,HYPER,LR,0.005
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,4,VALID,LOSS,1.3827037304878236
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,4,VALID,ACC1,49.8
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,1.3214026791763305
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,51.796
cifar10,resnet50,sgd_l0.005_e100_w0.0001_m0.9_nt,1,5,HYPER,LR,0.005
