DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,1.9206309885406494
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,29.276000000000003
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,1,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,1,VALID,LOSS,1.6903841428756714
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,1,VALID,ACC1,37.260000000000005
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,1.6429296283340453
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,39.12799999999999
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,2,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,2,VALID,LOSS,1.5556924589157104
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,2,VALID,ACC1,42.300000000000004
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,1.4384476029968263
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,47.156
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,3,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,3,VALID,LOSS,1.3919304330825806
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,3,VALID,ACC1,49.93
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,1.260004838218689
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,54.083999999999996
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,4,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,4,VALID,LOSS,1.1487079412460328
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,4,VALID,ACC1,58.61000000000001
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,1.1105973352050782
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,59.924
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,5,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,5,VALID,LOSS,1.1512219856262207
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,5,VALID,ACC1,59.760000000000005
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,0.9852921846580506
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,64.60600000000001
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,6,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,6,VALID,LOSS,1.1214623903274537
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,6,VALID,ACC1,62.32
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,0.8965334116363526
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,67.76599999999999
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,7,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,7,VALID,LOSS,1.1170732279777527
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,7,VALID,ACC1,63.559999999999995
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,0.8145604617500305
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,71.208
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,8,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,8,VALID,LOSS,0.8906295988082886
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,8,VALID,ACC1,69.72
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,9,TRAIN,LOSS,0.7364930201339722
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,9,TRAIN,ACC1,73.89
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,9,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,9,VALID,LOSS,0.782248027420044
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,9,VALID,ACC1,72.37
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,10,TRAIN,LOSS,0.6697665503883362
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,10,TRAIN,ACC1,76.422
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,10,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,10,VALID,LOSS,0.7718876388549805
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,10,VALID,ACC1,74.19
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,11,TRAIN,LOSS,0.6164444836997985
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,11,TRAIN,ACC1,78.618
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,11,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,11,VALID,LOSS,0.6737685020446778
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,11,VALID,ACC1,77.23
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,12,TRAIN,LOSS,0.5733941103172302
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,12,TRAIN,ACC1,80.024
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,12,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,12,VALID,LOSS,0.6628804522514343
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,12,VALID,ACC1,77.42999999999999
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,13,TRAIN,LOSS,0.5364594688415527
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,13,TRAIN,ACC1,81.46
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,13,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,13,VALID,LOSS,0.5994447157382965
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,13,VALID,ACC1,79.95
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,14,TRAIN,LOSS,0.5015598586082458
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,14,TRAIN,ACC1,82.52
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,14,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,14,VALID,LOSS,0.6418397628784179
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,14,VALID,ACC1,79.73
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,15,TRAIN,LOSS,0.4687883668899536
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,15,TRAIN,ACC1,83.806
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,15,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,15,VALID,LOSS,0.6302585456371307
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,15,VALID,ACC1,80.1
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,16,TRAIN,LOSS,0.4386965468788147
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,16,TRAIN,ACC1,84.75200000000001
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,16,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,16,VALID,LOSS,0.5589391153335571
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,16,VALID,ACC1,82.32
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,17,TRAIN,LOSS,0.4131351185417175
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,17,TRAIN,ACC1,85.636
cifar10,resnet50,sgd_l0.01_e100_w0.0001_m0.9_nf,1,17,HYPER,LR,0.01
