DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,1,TRAIN,LOSS,1.8514726400756836
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,1,TRAIN,ACC1,31.022000000000006
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,1,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,1,VALID,LOSS,1.7076351799011231
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,1,VALID,ACC1,36.45
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,2,TRAIN,LOSS,1.5961206999206543
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,2,TRAIN,ACC1,40.900000000000006
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,2,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,2,VALID,LOSS,1.6216526956558228
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,2,VALID,ACC1,41.16
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,3,TRAIN,LOSS,1.3873850646209718
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,3,TRAIN,ACC1,49.352
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,3,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,3,VALID,LOSS,1.4140255374908448
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,3,VALID,ACC1,50.160000000000004
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,4,TRAIN,LOSS,1.2233588779067994
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,4,TRAIN,ACC1,55.818
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,4,HYPER,LR,0.01
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,4,VALID,LOSS,1.1836239872932435
cifar10,resnet50,sgd_l0.01_e100_w0_m0.9_nt,1,4,VALID,ACC1,57.96
