DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,1,TRAIN,LOSS,1.8795523971557617
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,1,TRAIN,ACC1,33.012
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,1,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,1,VALID,LOSS,1.5286592735290527
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,1,VALID,ACC1,41.36
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,2,TRAIN,LOSS,1.3001566917419434
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,2,TRAIN,ACC1,52.408
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,2,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,2,VALID,LOSS,1.1418300517082214
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,2,VALID,ACC1,59.38
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,3,TRAIN,LOSS,0.9963157944869995
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,3,TRAIN,ACC1,64.322
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,3,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,3,VALID,LOSS,1.0699695123672486
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,3,VALID,ACC1,64.13
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,4,TRAIN,LOSS,0.834580340385437
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,4,TRAIN,ACC1,70.346
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,4,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,4,VALID,LOSS,0.8597571963310242
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,4,VALID,ACC1,69.94
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,5,TRAIN,LOSS,0.7063272880363465
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,5,TRAIN,ACC1,75.262
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,5,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,5,VALID,LOSS,0.6939203827857972
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,5,VALID,ACC1,76.69
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,6,TRAIN,LOSS,0.6009780222320557
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,6,TRAIN,ACC1,79.17
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,6,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,6,VALID,LOSS,0.6937801992416381
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,6,VALID,ACC1,76.07
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,7,TRAIN,LOSS,0.530005974407196
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,7,TRAIN,ACC1,81.58
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,7,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,7,VALID,LOSS,0.630732729101181
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,7,VALID,ACC1,79.81
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,8,TRAIN,LOSS,0.482510728187561
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,8,TRAIN,ACC1,83.254
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,8,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,8,VALID,LOSS,0.5291753962993622
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,8,VALID,ACC1,81.77
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,9,TRAIN,LOSS,0.4300115182685852
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,9,TRAIN,ACC1,85.03399999999999
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,9,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,9,VALID,LOSS,0.4784786936759949
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,9,VALID,ACC1,83.89
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,10,TRAIN,LOSS,0.39160528673171996
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,10,TRAIN,ACC1,86.384
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,10,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,10,VALID,LOSS,0.5381263878822327
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,10,VALID,ACC1,82.80000000000001
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,11,TRAIN,LOSS,0.36284799496650694
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,11,TRAIN,ACC1,87.386
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,11,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,11,VALID,LOSS,0.4259754871368408
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,11,VALID,ACC1,85.52
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,12,TRAIN,LOSS,0.3335520912837982
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,12,TRAIN,ACC1,88.356
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,12,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,12,VALID,LOSS,0.39398578436374665
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,12,VALID,ACC1,86.99
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,13,TRAIN,LOSS,0.3115974580860138
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,13,TRAIN,ACC1,89.122
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,13,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,13,VALID,LOSS,0.39680370545387267
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,13,VALID,ACC1,86.53
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,14,TRAIN,LOSS,0.2867187242603302
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,14,TRAIN,ACC1,89.94800000000001
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,14,HYPER,LR,0.05
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,14,VALID,LOSS,0.3928677178859711
cifar10,resnet50,sgd_l0.05_e100_w0_m0.9_nf,1,14,VALID,ACC1,87.39
