DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,TRAIN,LOSS,2.280698254928589
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,TRAIN,ACC1,17.344000000000005
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,HYPER,LR,0.49999999999999367
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,VALID,LOSS,1.9130894685745239
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,VALID,ACC1,22.809999999999995
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,TRAIN,LOSS,1.768101077270508
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,TRAIN,ACC1,33.788
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,HYPER,LR,0.49999999999999056
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,VALID,LOSS,1.5564222846984863
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,VALID,ACC1,43.05
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,TRAIN,LOSS,1.5066447845840454
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,TRAIN,ACC1,44.748
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,HYPER,LR,0.4999999999999859
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,VALID,LOSS,1.5265187925338746
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,VALID,ACC1,43.7
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,TRAIN,LOSS,1.3343323109054566
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,TRAIN,ACC1,52.32
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,HYPER,LR,0.499999999999979
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,VALID,LOSS,1.5250524950027466
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,VALID,ACC1,47.11
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,5,TRAIN,LOSS,1.1717107572174073
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,5,TRAIN,ACC1,58.472
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,5,HYPER,LR,0.4999999999999686
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,5,VALID,LOSS,1.2604639234542847
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,5,VALID,ACC1,57.11999999999999
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,6,TRAIN,LOSS,1.0485871707725525
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,6,TRAIN,ACC1,62.84799999999999
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,6,HYPER,LR,0.49999999999995315
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,6,VALID,LOSS,1.0735685335159302
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,6,VALID,ACC1,62.2
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,7,TRAIN,LOSS,0.9498108029937744
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,7,TRAIN,ACC1,66.93
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,7,HYPER,LR,0.49999999999993017
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,7,VALID,LOSS,1.1032862971305848
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,7,VALID,ACC1,64.97
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,8,TRAIN,LOSS,0.8948038470840454
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,8,TRAIN,ACC1,69.082
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,8,HYPER,LR,0.49999999999989586
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,8,VALID,LOSS,0.8383101647377014
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,8,VALID,ACC1,70.67
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,9,TRAIN,LOSS,0.8505096395874023
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,9,TRAIN,ACC1,70.34400000000001
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,9,HYPER,LR,0.49999999999984457
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,9,VALID,LOSS,1.4398950023651123
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,9,VALID,ACC1,57.81
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,10,TRAIN,LOSS,0.8180991856765747
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,10,TRAIN,ACC1,71.776
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,10,HYPER,LR,0.4999999999997682
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,10,VALID,LOSS,0.9971079115867615
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,10,VALID,ACC1,67.60999999999999
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,11,TRAIN,LOSS,0.79536070520401
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,11,TRAIN,ACC1,72.824
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,11,HYPER,LR,0.49999999999965405
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,11,VALID,LOSS,0.8132430961608886
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,11,VALID,ACC1,71.33
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,12,TRAIN,LOSS,0.7797295426940918
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,12,TRAIN,ACC1,73.34
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,12,HYPER,LR,0.49999999999948397
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,12,VALID,LOSS,1.211245366001129
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,12,VALID,ACC1,64.01
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,13,TRAIN,LOSS,0.772970212020874
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,13,TRAIN,ACC1,73.562
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,13,HYPER,LR,0.49999999999923017
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,13,VALID,LOSS,1.0118957467079162
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,13,VALID,ACC1,66.91
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,14,TRAIN,LOSS,0.7442326187324524
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,14,TRAIN,ACC1,74.55199999999999
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,14,HYPER,LR,0.4999999999988516
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,14,VALID,LOSS,0.8086798490524292
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,14,VALID,ACC1,72.44
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,15,TRAIN,LOSS,0.7372737533092498
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,15,TRAIN,ACC1,74.83999999999999
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,15,HYPER,LR,0.4999999999982868
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,15,VALID,LOSS,0.8952023077011109
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,15,VALID,ACC1,70.14
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,16,TRAIN,LOSS,0.7288276762390137
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,16,TRAIN,ACC1,74.964
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,16,HYPER,LR,0.49999999999744416
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,16,VALID,LOSS,0.9377248277664184
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,16,VALID,ACC1,69.42999999999999
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,17,TRAIN,LOSS,0.7163383287048339
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,17,TRAIN,ACC1,75.632
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,17,HYPER,LR,0.49999999999618716
cifar10,resnet50,sigx_l0.5_e100_w0.0001_m0.9_nf_a40_b0.8,1,17,VALID,LOSS,0.8999130605697632
