DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,TRAIN,LOSS,2.506052567062378
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,TRAIN,ACC1,9.887999999999996
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,HYPER,LR,0.9999999999999873
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,VALID,LOSS,2.3453132946014406
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,TRAIN,LOSS,2.3379346886444092
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,TRAIN,ACC1,10.192
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,HYPER,LR,0.9999999999999811
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,VALID,LOSS,2.349692346572876
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,TRAIN,LOSS,2.185662530212402
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,TRAIN,ACC1,15.061999999999998
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,HYPER,LR,0.9999999999999718
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,VALID,LOSS,2.0540939682006836
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,3,VALID,ACC1,18.84
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,TRAIN,LOSS,1.9749382822799684
cifar10,resnet50,sigx_l1_e100_w0.0001_m0.9_nf_a40_b0.8,1,4,TRAIN,ACC1,21.78
