DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,1.9170091275787353
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,29.462
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.010009999677581337
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,1.6687494739532471
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,37.41
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,1.639941035041809
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,39.132
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.010009999586006244
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,1.5656978340148926
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,42.169999999999995
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,1.4354651261138915
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,47.06399999999999
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.010009999468421502
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,1.3965456554412843
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,50.059999999999995
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,1.2587203915405274
cifar10,resnet50,taso_l0.01_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,53.844
