DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,1.8665130384063722
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,34.25
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,1.6447685716629028
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,42.83
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,1.2006921773338317
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,56.57600000000001
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,1.0528136145591735
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,62.29
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.9260993394851684
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,67.36599999999999
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,1.052861167907715
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,64.48
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.7906315749931335
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,71.98800000000001
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,0.8340657320976257
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,71.02
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,0.6910314666938782
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,75.536
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,0.7235371078491211
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,76.01
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,0.5968338722038269
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,79.098
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,0.6188803388595581
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,78.23
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,0.5305071711540222
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,81.608
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,0.5822363896846772
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,80.75
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,0.4772057752799988
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,83.338
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,VALID,LOSS,0.5480751567840576
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,VALID,ACC1,81.83
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,TRAIN,LOSS,0.43186583263397216
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,TRAIN,ACC1,84.992
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,HYPER,LR,0.100099976176309
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,VALID,LOSS,0.49673816890716554
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,9,VALID,ACC1,83.16
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,TRAIN,LOSS,0.3986286612033844
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,TRAIN,ACC1,86.21
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,VALID,LOSS,0.461994043636322
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,10,VALID,ACC1,84.72
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,TRAIN,LOSS,0.3647211047697067
cifar10,resnet50,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,11,TRAIN,ACC1,87.276
