DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,2.4573587187194823
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,10.072000000000003
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.5004999838790668
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,2.3349689670562745
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,2.1246759803009034
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,18.308000000000003
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.5004999793003122
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,1.897690499305725
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,29.659999999999997
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,1.6822851442718505
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,37.21
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.5004999734210751
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,1.9247005851745604
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,38.4
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,1.4410142079544068
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,47.36
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.5004999658719854
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,1.5708495431900025
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,48.56
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,1.2269949467468262
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,56.336000000000006
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.5004999561787628
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,2.3678704244613646
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,41.42
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,1.1071611178779601
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,60.699999999999996
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.5004999437324189
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,1.1889847244262695
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,58.77
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,1.021794016532898
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,64.114
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.500499927750998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,1.5967443801879884
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,53.23
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,0.9531288179397583
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,66.72
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.500499907230449
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,1.1023067796707153
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,63.33
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,0.9030056534194947
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,68.862
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.500499880881545
