DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,2.5113420860290527
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,10.028000000000004
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.5004999838790668
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,2.329080404281616
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,2.316520808944702
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,9.933999999999997
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.5004999793003122
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,2.322613784790039
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,2.315070285873413
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,10.170000000000002
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.5004999734210751
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,2.326285116195679
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,2.316483605117798
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,9.904000000000002
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.5004999658719854
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,2.330294969558716
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,2.317024702606201
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,9.750000000000004
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.5004999561787628
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,2.308274561691284
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,2.315869169921875
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,9.836
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.5004999437324189
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,2.31637830657959
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,2.3163252328491213
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,10.258000000000001
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.500499927750998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,2.3294583850860597
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,2.2975271378326414
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,11.104000000000003
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.500499907230449
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,LOSS,2.1244629985809325
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,ACC1,16.939999999999998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,LOSS,1.8406021049118042
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,ACC1,30.144000000000005
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,HYPER,LR,0.500499880881545
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,LOSS,2.8282273624420164
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,ACC1,20.420000000000005
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,LOSS,1.5583889773178101
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,ACC1,42.394
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,HYPER,LR,0.5004998470488865
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,LOSS,1.7774365158081056
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,ACC1,39.88
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,TRAIN,LOSS,1.3630875193023682
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,TRAIN,ACC1,50.815999999999995
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,HYPER,LR,0.5004998036068998
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,VALID,LOSS,1.3567077463150023
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,VALID,ACC1,50.63999999999999
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,TRAIN,LOSS,1.2145701266098023
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,TRAIN,ACC1,56.397999999999996
cifar10,resnet50,taso_l0.5_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,HYPER,LR,0.5004997478262959
