DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,2.5060254862213136
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,9.792000000000002
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,1.0009999677581336
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,2.3455516410827637
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,2.2500961785888673
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,13.068000000000001
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,1.0009999586006244
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,1.997051661682129
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,23.380000000000003
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,1.9207978559112548
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,25.770000000000003
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,1.0009999468421502
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,2.1437042810440063
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,21.909999999999997
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,1.8463331016540527
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,29.459999999999997
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,1.0009999317439708
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,1.7958670482635497
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,28.24
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,1.8143302518463136
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,31.557999999999996
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,1.0009999123575255
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,1.7558714248657226
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,34.28
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,1.763910553817749
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,33.556
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,1.0009998874648378
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,1.7831936080932618
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,35.440000000000005
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,1.7299900429534911
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,35.163999999999994
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,1.000999855501996
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,1.877107567024231
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,32.25
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,1.7226936820220948
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,35.532
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,1.000999814460898
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,1.9100918838500978
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,32.60999999999999
cifar10,resnet50,taso_l1_e100_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,1.6722732884979248
