DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,2.5083776526641848
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,9.814
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,1,HYPER,LR,1.0009999677581336
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,2.3456758586883546
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,2.3380325310516357
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,10.18
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,2,HYPER,LR,1.0009999586006244
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,2.349781031036377
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,2.335007877655029
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,10.19
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,3,HYPER,LR,1.0009999468421502
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,2.363090007400513
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,2.3417084687805176
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,9.708000000000006
cifar10,resnet50,taso_l1_e100_w0_m0.9_nf_a25_b0.7,1,4,HYPER,LR,1.0009999317439708
