DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,2.149978636932373
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,21.130000000000003
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,1.0009999677581336
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,2.069109867477417
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,20.979999999999997
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,1.7610959966278077
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,32.51199999999999
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,1.0009999586006244
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,1.7722764715194703
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,32.49999999999999
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,1.540966018600464
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,41.839999999999996
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,1.0009999468421502
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,1.8446238819122314
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,39.900000000000006
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,1.3575895960998534
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,50.214000000000006
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,1.0009999317439708
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,1.2993607301712036
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,53.42
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,1.19083375125885
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,57.577999999999996
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,5,HYPER,LR,1.0009999123575255
cifar10,resnet50,taso_l1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,1.62397238407135
