DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,37.20333333333333
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,1,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,1,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,1,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,2,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,2,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,2,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,3,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,3,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,3,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,4,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,4,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,4,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,5,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,5,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,5,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,6,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,6,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,6,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,7,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,7,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,7,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,8,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,8,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,8,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,9,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,9,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,9,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,10,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,10,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,10,HYPER,LR,0.1
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,10,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.1_e10_w0_m0_cf_a0.99,1,10,VALID,ACC1,25.0
