DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,2.912955714584534
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,62.7175
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.1000999694097773
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,3.775837496368351
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,47.026315789473685
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,2.916097371680564
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,66.43666666666667
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.10009962733607158
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,4.978921596720563
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,48.80263157894736
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,2.8063496655071707
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,67.60666666666665
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009546021312976
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,5.2318075980599845
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,47.618421052631575
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,2.7968048748477883
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,67.58333333333333
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10004472213630765
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,3.070361971802945
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,49.18421052631579
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,2.751021355898726
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,68.05666666666667
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.09943071490757154
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,4.5576289061108435
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,49.6578947368421
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,2.390528250634989
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,69.93583333333333
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.09251418199787566
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,5.054346982917314
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,48.21052631578947
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,1.2010831085193667
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,73.59083333333334
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.050100000000000006
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,1.695914209950786
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,54.49999999999999
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,0.5483243597570083
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,80.87416666666667
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.007685818002124339
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,0.673937525815234
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,74.67105263157895
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,0.5014545322185476
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,82.6325
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.0007692850924284844
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,0.3979697484799744
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,86.26315789473684
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,0.501278116263636
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,82.76916666666668
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.00015527786369235992
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,0.37123790217037156
agnews,rcnn,taso_l0.1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,87.28947368421053
