DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,77.26746856360694
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,25.662499999999998
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,1.000999694097773
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,142.4767528213847
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,77.40371825453278
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,25.89
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,1.0009962733607158
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,88.29050935139782
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,77.91314711153879
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,25.93833333333333
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,1.0009546021312976
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,127.79914470625448
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,78.38282526609129
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,25.806666666666665
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,1.0004472213630764
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,102.69179890314305
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,76.44647098510089
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,25.991666666666667
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.9943071490757153
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,72.86157745360214
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,71.7360479796023
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,25.777499999999996
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.9251418199787566
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,68.15893532853157
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,38.33644027887167
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,26.43
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.501
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,48.15479258605339
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,5.1476744357628315
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,31.3825
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.0768581800212434
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,6.016383284442348
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,25.355263157894736
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,1.3690207437824842
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,37.278333333333336
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.007692850924284844
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,2.0727866638209216
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,1.1714972156315966
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,41.7225
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.001552778636923599
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,1.5911077014847343
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,25.0
