DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,59.054602277104244
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,25.980000000000004
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,1.000999694097773
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,56.551186850852375
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,58.81979979623997
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,26.111666666666665
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,1.0009962733607158
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,52.869812781119386
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,58.90612648434362
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,26.260833333333334
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,1.0009546021312976
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,54.904053526891076
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,58.98418955255346
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,26.005833333333328
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,HYPER,LR,1.0004472213630764
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,56.38798484237821
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,24.986842105263165
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,58.28943683367995
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,26.029999999999998
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.9943071490757153
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,52.0473086298539
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,54.82322995848287
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,26.070833333333333
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.9251418199787566
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,41.584218138278224
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,25.0
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,29.561367721164302
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,25.865000000000006
agnews,rcnn,taso_l1_e10_w0.0001_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.501
