DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,0.809161336808337
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,75.78916666666666
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,1,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,1,VALID,LOSS,0.6089087210361349
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,1,VALID,ACC1,81.96052631578948
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,0.7707442299886116
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,78.51666666666667
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,2,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,2,VALID,LOSS,0.5872507648571352
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,2,VALID,ACC1,81.77631578947368
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,0.6533301652674867
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,81.11833333333334
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,3,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,3,VALID,LOSS,0.6839850935060559
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,3,VALID,ACC1,74.61842105263158
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,0.5493031563539746
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,83.36250000000001
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,4,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,4,VALID,LOSS,0.5677606665648888
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,4,VALID,ACC1,82.69736842105263
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,0.492487099585195
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,84.56833333333333
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,5,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,5,VALID,LOSS,0.8269832015057844
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,5,VALID,ACC1,70.96052631578948
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,0.42989855956149003
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,86.49583333333332
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,6,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,6,VALID,LOSS,0.4569544152359495
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,6,VALID,ACC1,83.77631578947368
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,0.38148915146053586
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,88.1925
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,7,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,7,VALID,LOSS,0.5143232955392909
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,7,VALID,ACC1,81.42105263157895
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,0.3545761226316851
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,88.99083333333333
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,8,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,8,VALID,LOSS,0.42912545472827357
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,8,VALID,ACC1,83.3157894736842
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,9,TRAIN,LOSS,0.32845417502091834
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,9,TRAIN,ACC1,89.66583333333334
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,9,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,9,VALID,LOSS,0.4766392466610982
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,9,VALID,ACC1,81.8157894736842
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,10,TRAIN,LOSS,0.3050852092936488
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,10,TRAIN,ACC1,90.23166666666667
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,10,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,10,VALID,LOSS,0.35027385028698343
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,10,VALID,ACC1,87.63157894736841
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,11,TRAIN,LOSS,0.29542356317199453
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,11,TRAIN,ACC1,90.675
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,11,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,11,VALID,LOSS,0.5846243032061994
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,11,VALID,ACC1,77.5657894736842
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,12,TRAIN,LOSS,0.28508834991232823
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,12,TRAIN,ACC1,90.99666666666667
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,12,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,12,VALID,LOSS,0.5037338248241262
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,12,VALID,ACC1,81.3157894736842
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,13,TRAIN,LOSS,0.27711014594769584
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,13,TRAIN,ACC1,91.125
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,13,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,13,VALID,LOSS,0.346895858249448
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,13,VALID,ACC1,87.53947368421052
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,14,TRAIN,LOSS,0.27048985168109446
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,14,TRAIN,ACC1,91.405
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,14,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,14,VALID,LOSS,0.5012172991300202
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,14,VALID,ACC1,80.75
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,15,TRAIN,LOSS,0.2716365482406515
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,15,TRAIN,ACC1,91.49333333333334
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,15,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,15,VALID,LOSS,0.45925151596837066
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,15,VALID,ACC1,81.84210526315789
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,16,TRAIN,LOSS,0.26396866041711425
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,16,TRAIN,ACC1,91.62166666666667
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,16,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,16,VALID,LOSS,0.357573803489946
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,16,VALID,ACC1,86.48684210526316
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,17,TRAIN,LOSS,0.2616396279534463
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,17,TRAIN,ACC1,91.735
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,17,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,17,VALID,LOSS,0.6941903594866429
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,17,VALID,ACC1,72.44736842105264
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,18,TRAIN,LOSS,0.2564050190005844
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,18,TRAIN,ACC1,91.79333333333334
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,18,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,18,VALID,LOSS,0.49289347248431664
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,18,VALID,ACC1,80.86842105263158
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,19,TRAIN,LOSS,0.2534461403351369
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,19,TRAIN,ACC1,91.935
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,19,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,19,VALID,LOSS,0.4104939193776586
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,19,VALID,ACC1,84.32894736842104
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,20,TRAIN,LOSS,0.253231008725045
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,20,TRAIN,ACC1,91.99
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,20,HYPER,LR,0.05
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,20,VALID,LOSS,0.5880062880003033
agnews,rcnn,sgd_l0.05_e20_w0.0001_m0.9_nf,1,20,VALID,ACC1,76.63157894736841
