DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,1,TRAIN,LOSS,1.6077560569381715
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,1,TRAIN,ACC1,40.908
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,1,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,1,VALID,LOSS,1.4052568943023682
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,1,VALID,ACC1,48.57
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,2,TRAIN,LOSS,1.3396335401153565
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,2,TRAIN,ACC1,51.266
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,2,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,2,VALID,LOSS,1.272364331817627
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,2,VALID,ACC1,53.88999999999999
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,3,TRAIN,LOSS,1.237540213432312
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,3,TRAIN,ACC1,55.38000000000001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,3,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,3,VALID,LOSS,1.1930088941574097
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,3,VALID,ACC1,56.88999999999999
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,4,TRAIN,LOSS,1.1674252572631836
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,4,TRAIN,ACC1,58.084
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,4,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,4,VALID,LOSS,1.139272925376892
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,4,VALID,ACC1,59.36
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,5,TRAIN,LOSS,1.110756587333679
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,5,TRAIN,ACC1,60.044
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,5,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,5,VALID,LOSS,1.0856247941970825
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,5,VALID,ACC1,60.84
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,6,TRAIN,LOSS,1.0692722830200194
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,6,TRAIN,ACC1,61.348
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,6,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,6,VALID,LOSS,1.0762462810516358
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,6,VALID,ACC1,61.040000000000006
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,7,TRAIN,LOSS,1.0294138823318482
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,7,TRAIN,ACC1,63.397999999999996
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,7,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,7,VALID,LOSS,1.0176847272396088
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,7,VALID,ACC1,63.61
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,8,TRAIN,LOSS,1.0028022681045532
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,8,TRAIN,ACC1,63.988
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,8,HYPER,LR,0.001
cifar10,resnet50,adagrad_l0.001_e100_w0_d0_a0,1,8,VALID,LOSS,0.9794294128417969
