DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,1,TRAIN,LOSS,1.449263659210205
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,1,TRAIN,ACC1,46.486000000000004
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,1,HYPER,LR,0.005
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,1,VALID,LOSS,1.391388623046875
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,1,VALID,ACC1,50.89
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,2,TRAIN,LOSS,0.9901497564888001
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,2,TRAIN,ACC1,64.51
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,2,HYPER,LR,0.005
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,2,VALID,LOSS,1.0242107634544373
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,2,VALID,ACC1,65.28
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,3,TRAIN,LOSS,0.82161775182724
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,3,TRAIN,ACC1,70.808
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,3,HYPER,LR,0.005
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,3,VALID,LOSS,0.99765507106781
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,3,VALID,ACC1,67.36999999999999
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,4,TRAIN,LOSS,0.716664955406189
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,4,TRAIN,ACC1,74.812
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,4,HYPER,LR,0.005
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,4,VALID,LOSS,0.811808259010315
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,4,VALID,ACC1,71.65
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,5,TRAIN,LOSS,0.6315883794784546
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,5,TRAIN,ACC1,77.636
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,5,HYPER,LR,0.005
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,5,VALID,LOSS,1.28543210811615
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,5,VALID,ACC1,64.52
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,6,TRAIN,LOSS,0.5592876408576966
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,6,TRAIN,ACC1,80.518
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,6,HYPER,LR,0.005
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,6,VALID,LOSS,0.7610632924079895
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,6,VALID,ACC1,74.7
cifar10,resnet50,adagrad_l0.005_e100_w0.0001_d0_a0,1,7,TRAIN,LOSS,0.5102959439849853
