DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.7586711057281494
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,33.694
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.005
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.6573407260894775
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,35.73
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.314797631340027
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,52.23599999999999
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.005
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.236971346282959
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,56.37
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.1017467153930665
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,60.724000000000004
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.005
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,1.1448355993270873
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,59.69
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.0053204014968873
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,64.202
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.005
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,1.250977274608612
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,58.589999999999996
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.9301805873489379
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,66.94
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.005
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,1.0960661939620973
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,62.62
cifar10,resnet50,adam_l0.005_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.87456307346344
