DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,4.277580984458924
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,23.304000000000002
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,1,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,1,VALID,LOSS,2.666055536651611
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,1,VALID,ACC1,16.84
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,1.9039915176391602
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,31.214
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,2,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,2,VALID,LOSS,11.296697293090821
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,2,VALID,ACC1,13.480000000000004
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,1.8116042929840088
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,38.734
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,3,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,3,VALID,LOSS,2.241887892913818
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,3,VALID,ACC1,30.789999999999996
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,1.4907749987411498
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,47.040000000000006
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,4,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,4,VALID,LOSS,1.4281307285308837
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,4,VALID,ACC1,50.029999999999994
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,1.355547385406494
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,52.234
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,5,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,5,VALID,LOSS,1.9249565143585206
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,5,VALID,ACC1,45.37
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,1.1788900932884216
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,57.952000000000005
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,6,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,6,VALID,LOSS,1.1974871383666992
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,6,VALID,ACC1,59.040000000000006
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,1.0602186087799073
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,62.373999999999995
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,7,HYPER,LR,0.05
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,7,VALID,LOSS,1.5675656311035155
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,7,VALID,ACC1,50.059999999999995
cifar10,resnet50,rmsprop_l0.05_e100_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.9873283770179748
