DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,LOSS,13.076695390930176
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,ACC1,10.936000000000002
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,1,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,1,VALID,LOSS,2598295.5
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,LOSS,3.6898852925109864
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,ACC1,10.536000000000001
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,2,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,2,VALID,LOSS,8139009.552
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,2,VALID,ACC1,9.999999999999998
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,LOSS,4.798118267822265
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,ACC1,10.526000000000002
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,3,HYPER,LR,0.1
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,3,VALID,LOSS,8972.072509375
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,3,VALID,ACC1,9.999999999999998
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,LOSS,3.9582343197631835
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,ACC1,10.292000000000002
cifar10,resnet50,rmsprop_l0.1_e100_w0.0001_m0_cf_a0.99,1,4,HYPER,LR,0.1
