DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,1,TRAIN,LOSS,0.6635924961183053
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,1,TRAIN,ACC1,76.45083333333334
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,1,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,1,VALID,LOSS,0.5846052062896702
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,1,VALID,ACC1,79.15789473684211
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,2,TRAIN,LOSS,0.4906140420974
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,2,TRAIN,ACC1,85.30166666666666
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,2,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,2,VALID,LOSS,0.5076547617238324
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,2,VALID,ACC1,82.19736842105263
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,3,TRAIN,LOSS,0.4518758870676363
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,3,TRAIN,ACC1,86.38749999999999
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,3,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,3,VALID,LOSS,0.4763636798562969
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,3,VALID,ACC1,83.30263157894737
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,4,TRAIN,LOSS,0.43222741136286635
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,4,TRAIN,ACC1,87.0075
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,4,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,4,VALID,LOSS,0.44456770297969944
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,4,VALID,ACC1,84.85526315789474
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,5,TRAIN,LOSS,0.4201799671731727
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,5,TRAIN,ACC1,87.33583333333334
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,5,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,5,VALID,LOSS,0.4319217198592807
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,5,VALID,ACC1,85.17105263157895
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,6,TRAIN,LOSS,0.41092425314826186
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,6,TRAIN,ACC1,87.59833333333333
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,6,HYPER,LR,0.001
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,6,VALID,LOSS,0.4151595009177717
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,6,VALID,ACC1,85.90789473684211
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,7,TRAIN,LOSS,0.40301707265254444
agnews,rcnn,adagrad_l0.001_e20_w0_d0_a0,1,7,TRAIN,ACC1,87.81
