DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,TRAIN,LOSS,0.4212156269408041
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,TRAIN,ACC1,86.0375
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,VALID,LOSS,0.4528336452742137
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,1,VALID,ACC1,83.10526315789474
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,TRAIN,LOSS,0.35605582520252665
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,TRAIN,ACC1,88.73666666666666
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,VALID,LOSS,0.38723708011241154
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,2,VALID,ACC1,85.60526315789474
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,TRAIN,LOSS,0.3327032603260818
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,TRAIN,ACC1,89.44416666666667
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,VALID,LOSS,0.39506220464365027
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,3,VALID,ACC1,84.65789473684211
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,TRAIN,LOSS,0.31891685722956475
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,TRAIN,ACC1,89.94083333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,VALID,LOSS,0.375233481636411
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,4,VALID,ACC1,85.65789473684211
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,TRAIN,LOSS,0.30780532802356614
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,TRAIN,ACC1,90.28416666666666
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,VALID,LOSS,0.3637306126813502
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,5,VALID,ACC1,85.80263157894737
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,TRAIN,LOSS,0.29792623916126143
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,TRAIN,ACC1,90.54916666666666
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,VALID,LOSS,0.3464888926708952
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,6,VALID,ACC1,86.73684210526315
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,TRAIN,LOSS,0.2921199795649501
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,TRAIN,ACC1,90.80583333333333
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,VALID,LOSS,0.3518920774270343
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,7,VALID,ACC1,86.68421052631578
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,TRAIN,LOSS,0.2871013715106475
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,TRAIN,ACC1,90.88416666666667
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0.0001_d0_a0,1,8,VALID,LOSS,0.332345902405561
