DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,0.6787393257940589
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,75.345
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,1,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,1,VALID,LOSS,0.43659980235673734
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,1,VALID,ACC1,85.8157894736842
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,0.4865728095745582
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,83.92833333333334
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,2,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,2,VALID,LOSS,0.384916433642951
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,2,VALID,ACC1,87.13157894736842
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,0.4564888085801845
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,84.90666666666667
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,3,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,3,VALID,LOSS,0.366562362754866
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,3,VALID,ACC1,87.59210526315789
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,0.44074937704589034
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,85.325
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,4,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,4,VALID,LOSS,0.3541251170499455
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,4,VALID,ACC1,87.89473684210526
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,0.4328254053373265
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,85.58666666666667
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,5,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,5,VALID,LOSS,0.3456029942307966
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,5,VALID,ACC1,88.07894736842105
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,0.42594315406165
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,85.68166666666667
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,6,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,6,VALID,LOSS,0.3404945908749822
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,6,VALID,ACC1,88.28947368421053
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,7,TRAIN,LOSS,0.42057782854493025
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,7,TRAIN,ACC1,85.99416666666666
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,7,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,7,VALID,LOSS,0.3360526667777106
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,7,VALID,ACC1,88.32894736842105
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,8,TRAIN,LOSS,0.41680151049823366
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,8,TRAIN,ACC1,86.12416666666667
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,8,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,8,VALID,LOSS,0.33257247550580005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,8,VALID,ACC1,88.3421052631579
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,9,TRAIN,LOSS,0.4132364148310505
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,9,TRAIN,ACC1,86.18166666666667
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,9,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,9,VALID,LOSS,0.32983891573682633
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,9,VALID,ACC1,88.51315789473684
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,10,TRAIN,LOSS,0.4071431073387006
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,10,TRAIN,ACC1,86.4
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,10,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,10,VALID,LOSS,0.3270498204584318
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,10,VALID,ACC1,88.6578947368421
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,11,TRAIN,LOSS,0.4051108766970021
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,11,TRAIN,ACC1,86.42
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,11,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,11,VALID,LOSS,0.3254450937889166
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,11,VALID,ACC1,88.73684210526316
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,12,TRAIN,LOSS,0.4032000818892385
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,12,TRAIN,ACC1,86.47916666666666
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,12,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,12,VALID,LOSS,0.3238035149529256
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,12,VALID,ACC1,88.77631578947368
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,13,TRAIN,LOSS,0.4018457005551701
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,13,TRAIN,ACC1,86.48166666666667
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,13,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,13,VALID,LOSS,0.3225923467869537
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,13,VALID,ACC1,88.76315789473685
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,14,TRAIN,LOSS,0.399462683322341
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,14,TRAIN,ACC1,86.57249999999999
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,14,HYPER,LR,0.005
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,14,VALID,LOSS,0.32028801763439485
agnews,rcnn,adagrad_l0.005_e20_w0_d0_a0.1,1,14,VALID,ACC1,88.94736842105263
