DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.5662643189444685
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,79.8025
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.5500413705906245
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,79.63157894736842
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.5419010813886556
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,81.30333333333333
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.5396970652299836
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,80.51315789473684
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.5373007802667605
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,81.4475
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.4936190441266757
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,83.40789473684211
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.5290115229635695
agnews,rcnn,adam_l0.01_e20_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,81.76333333333334
