DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.5310606443812619
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,80.98416666666667
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.48053619830097555
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,84.44736842105263
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.48957146408394897
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,83.0525
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.47908500229431594
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,84.53947368421053
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.48026250512016294
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,83.44416666666666
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.4385473027406156
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,85.53947368421053
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.4704409911993214
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,83.86333333333333
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.44174310637665715
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,86.31578947368422
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.46220807699775057
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,84.16333333333334
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.4396363623062406
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,85.32894736842105
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.4562854654058987
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,84.46166666666667
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.44820004070784536
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,85.89473684210527
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.45908803155500777
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,84.32916666666667
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,7,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.44522001824719665
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,7,VALID,ACC1,85.25
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.4518395372092507
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,84.63916666666667
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,8,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.48444799610787026
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,8,VALID,ACC1,83.80263157894736
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.4524491541875284
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,84.465
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,9,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.4120473050666763
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,9,VALID,ACC1,86.92105263157895
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.4468057729697109
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,ACC1,84.77166666666666
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,10,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,10,VALID,LOSS,0.43558284392853996
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,10,VALID,ACC1,85.85526315789474
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,LOSS,0.447848697743643
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,11,TRAIN,ACC1,84.72166666666668
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,11,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,11,VALID,LOSS,0.4135190134797857
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,11,VALID,ACC1,86.55263157894737
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,LOSS,0.4444399587504707
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,12,TRAIN,ACC1,84.86666666666667
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,12,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,12,VALID,LOSS,0.42956888852072567
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,12,VALID,ACC1,85.26315789473684
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.4455101120921734
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,13,TRAIN,ACC1,84.75416666666666
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,13,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,13,VALID,LOSS,0.4463790950751474
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,13,VALID,ACC1,85.1842105263158
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,14,TRAIN,LOSS,0.44228938767188897
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,14,TRAIN,ACC1,84.885
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,14,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,14,VALID,LOSS,0.4344007295558089
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,14,VALID,ACC1,85.80263157894737
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,15,TRAIN,LOSS,0.4411341878844691
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,15,TRAIN,ACC1,84.92999999999999
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,15,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,15,VALID,LOSS,0.41065168698110427
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,15,VALID,ACC1,86.60526315789474
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,16,TRAIN,LOSS,0.4361152271836684
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,16,TRAIN,ACC1,85.35000000000001
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,16,HYPER,LR,0.01
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,16,VALID,LOSS,0.45839271203349236
agnews,rcnn,adam_l0.01_e20_w0_at_bf0.9_bs0.99,1,16,VALID,ACC1,84.52631578947368
