DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,1,TRAIN,LOSS,1.4987821463950155
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,1,TRAIN,ACC1,57.923333333333325
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,1,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,1,VALID,LOSS,1.5109642498027636
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,1,VALID,ACC1,43.53947368421053
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,2,TRAIN,LOSS,1.3705582623577388
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,2,TRAIN,ACC1,62.29583333333333
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,2,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,2,VALID,LOSS,1.4176158285426452
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,2,VALID,ACC1,42.96052631578947
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,3,TRAIN,LOSS,1.3798122947813363
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,3,TRAIN,ACC1,62.20416666666666
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,3,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,3,VALID,LOSS,1.7037202565426095
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,3,VALID,ACC1,42.48684210526316
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,4,TRAIN,LOSS,1.377747584350853
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,4,TRAIN,ACC1,62.14999999999999
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,4,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,4,VALID,LOSS,1.7551367224266545
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,4,VALID,ACC1,40.06578947368421
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,5,TRAIN,LOSS,1.3606069448293268
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,5,TRAIN,ACC1,62.66916666666666
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,5,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,5,VALID,LOSS,1.4139423818977228
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,5,VALID,ACC1,45.0921052631579
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,6,TRAIN,LOSS,1.3525806802328182
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,6,TRAIN,ACC1,62.7575
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,6,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,6,VALID,LOSS,1.194488423790612
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,6,VALID,ACC1,44.8421052631579
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,7,TRAIN,LOSS,1.3574589754206807
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,7,TRAIN,ACC1,62.769999999999996
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,7,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,7,VALID,LOSS,1.130218405208
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,7,VALID,ACC1,53.78947368421052
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,8,TRAIN,LOSS,1.3806930811472227
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,8,TRAIN,ACC1,62.32666666666666
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,8,HYPER,LR,0.05
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,8,VALID,LOSS,nan
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,8,VALID,ACC1,25.0
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,9,TRAIN,LOSS,nan
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,9,TRAIN,ACC1,25.0
agnews,rcnn,rmsprop_l0.05_e20_w0.0001_m0_ct_a0.99,1,9,HYPER,LR,0.05
