DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,1,TRAIN,LOSS,38.525920819213475
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,1,TRAIN,ACC1,26.221666666666664
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,1,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,1,VALID,LOSS,47.63333191523983
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,2,TRAIN,LOSS,37.55336985926651
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,2,TRAIN,ACC1,26.966666666666672
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,2,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,2,VALID,LOSS,44.41710149567651
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,3,TRAIN,LOSS,38.40041138098854
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,3,TRAIN,ACC1,27.697499999999998
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,3,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,3,VALID,LOSS,73.06111447051984
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,4,TRAIN,LOSS,37.605387408850525
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,4,TRAIN,ACC1,28.102499999999996
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,4,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,4,VALID,LOSS,60.10690503049405
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,5,TRAIN,LOSS,36.77631913570217
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,5,TRAIN,ACC1,30.07666666666666
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,5,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,5,VALID,LOSS,64.94948908213479
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,5,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nf,1,6,TRAIN,LOSS,35.8533178549635
