DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,1,TRAIN,LOSS,28.67778032987718
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,1,TRAIN,ACC1,27.305
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,1,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,1,VALID,LOSS,28.07933579282149
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,1,VALID,ACC1,31.14473684210526
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,2,TRAIN,LOSS,28.193335617813112
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,2,TRAIN,ACC1,28.93583333333334
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,2,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,2,VALID,LOSS,26.421471222853643
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,3,TRAIN,LOSS,27.241647070000372
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,3,TRAIN,ACC1,31.16
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,3,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,3,VALID,LOSS,34.429622099739106
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,4,TRAIN,LOSS,26.08277220838872
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,4,TRAIN,ACC1,33.6025
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,4,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,4,VALID,LOSS,34.39445330436838
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,4,VALID,ACC1,25.013157894736835
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,5,TRAIN,LOSS,26.10415707010758
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,5,TRAIN,ACC1,34.2075
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,5,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,5,VALID,LOSS,26.20008212622122
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,5,VALID,ACC1,42.60526315789473
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,6,TRAIN,LOSS,25.8301113657386
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,6,TRAIN,ACC1,34.6325
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,6,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,6,VALID,LOSS,28.327835316018863
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,6,VALID,ACC1,45.05263157894737
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,7,TRAIN,LOSS,26.106459996692074
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,7,TRAIN,ACC1,34.685
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,7,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,7,VALID,LOSS,32.8749573987101
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,7,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,8,TRAIN,LOSS,25.84525421806994
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,8,TRAIN,ACC1,34.75666666666667
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,8,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,8,VALID,LOSS,32.239465959601496
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,8,VALID,ACC1,40.53947368421053
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,9,TRAIN,LOSS,25.576386389450004
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,9,TRAIN,ACC1,35.27333333333333
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,9,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,9,VALID,LOSS,30.590485409521538
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,9,VALID,ACC1,42.55263157894736
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,10,TRAIN,LOSS,25.66504726535878
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,10,TRAIN,ACC1,35.78333333333333
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,10,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,10,VALID,LOSS,32.40887706184369
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,10,VALID,ACC1,25.013157894736835
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,11,TRAIN,LOSS,25.22809372014309
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,11,TRAIN,ACC1,35.45583333333333
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,11,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,11,VALID,LOSS,22.866526755759327
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,11,VALID,ACC1,44.35526315789474
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,12,TRAIN,LOSS,25.383373078090916
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,12,TRAIN,ACC1,35.806666666666665
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,12,HYPER,LR,0.5
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,12,VALID,LOSS,25.37762323039005
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,12,VALID,ACC1,25.0
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,13,TRAIN,LOSS,25.34790350171124
agnews,rcnn,sgd_l0.5_e20_w0_m0.9_nt,1,13,TRAIN,ACC1,35.67166666666667
