DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,76.93935823462792
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,25.680833333333332
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,VALID,LOSS,109.66578656826653
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,76.6147765538014
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,25.49916666666666
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,VALID,LOSS,95.81266805258348
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,78.41043924325473
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,25.57166666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,VALID,LOSS,111.71391135302744
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,77.81305312963273
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,25.7325
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,VALID,LOSS,102.74278955488373
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,77.95438039786613
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,25.592499999999994
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,5,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,5,VALID,LOSS,123.71348451354261
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,5,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,76.79792503392375
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,25.839166666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,6,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,6,VALID,LOSS,93.50902248164596
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,6,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,77.61254170578398
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,25.991666666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,7,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,7,VALID,LOSS,142.05201236231352
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,7,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,77.20412219462818
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,25.794166666666662
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,8,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,8,VALID,LOSS,77.96537734660807
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,8,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,9,TRAIN,LOSS,78.05195374204934
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,9,TRAIN,ACC1,25.574166666666663
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,9,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,9,VALID,LOSS,85.98115666806379
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,9,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,10,TRAIN,LOSS,76.99246871598764
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,10,TRAIN,ACC1,26.358333333333327
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,10,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,10,VALID,LOSS,139.251776678263
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,10,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,11,TRAIN,LOSS,77.59846612362551
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,11,TRAIN,ACC1,25.831666666666663
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,11,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,11,VALID,LOSS,100.73713227584602
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,11,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,12,TRAIN,LOSS,77.06531570227664
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,12,TRAIN,ACC1,25.740833333333335
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,12,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,12,VALID,LOSS,76.40816888110172
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,12,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,13,TRAIN,LOSS,78.0923027789719
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,13,TRAIN,ACC1,25.89583333333333
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,13,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,13,VALID,LOSS,79.06153345641823
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,13,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,14,TRAIN,LOSS,76.86982786606943
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,14,TRAIN,ACC1,26.279166666666665
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,14,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,14,VALID,LOSS,150.15288444184102
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,14,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,15,TRAIN,LOSS,77.27265760452995
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,15,TRAIN,ACC1,25.875000000000004
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,15,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,15,VALID,LOSS,112.97952717369166
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,15,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,16,TRAIN,LOSS,78.16159661087843
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,16,TRAIN,ACC1,25.788333333333334
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,16,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,16,VALID,LOSS,139.6661520914965
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,16,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,17,TRAIN,LOSS,78.39002800456903
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,17,TRAIN,ACC1,25.992499999999996
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,17,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,17,VALID,LOSS,97.08032219395785
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,17,VALID,ACC1,24.960526315789476
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,18,TRAIN,LOSS,77.73028397777476
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,18,TRAIN,ACC1,25.8425
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,18,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,18,VALID,LOSS,91.68798298029499
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,18,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,19,TRAIN,LOSS,77.02162185088365
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,19,TRAIN,ACC1,25.82416666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,19,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,19,VALID,LOSS,88.46446325502086
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,19,VALID,ACC1,23.460526315789476
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,20,TRAIN,LOSS,77.89389797695958
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,20,TRAIN,ACC1,25.723333333333333
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,20,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,20,VALID,LOSS,97.52859056707274
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nf,1,20,VALID,ACC1,25.0
