DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,59.040486602559
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,26.075833333333332
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,45.26583212593752
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,58.84870215704027
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,25.97083333333333
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,52.068613403834235
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,58.37173932540708
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,26.18166666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,60.760627833473805
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,58.91340595703582
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,25.747500000000002
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,68.4521927726335
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,58.77900438822424
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,26.032500000000002
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,5,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,5,VALID,LOSS,54.780681920726934
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,5,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,58.983640699931144
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,25.777499999999996
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,6,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,6,VALID,LOSS,60.72847732448142
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,6,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,59.161549328853276
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,26.06333333333334
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,7,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,7,VALID,LOSS,64.77522973513912
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,7,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,59.30347541460221
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,25.89583333333333
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,8,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,8,VALID,LOSS,82.92034631892697
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,8,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,58.9807952548604
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,25.8575
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,9,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,9,VALID,LOSS,58.054919027207625
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,9,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,59.19328674980015
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,26.265000000000004
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,10,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,10,VALID,LOSS,74.8575134956882
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,10,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,11,TRAIN,LOSS,58.97914430507194
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,11,TRAIN,ACC1,26.06666666666667
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,11,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,11,VALID,LOSS,41.42435707261984
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,11,VALID,ACC1,24.94736842105263
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,12,TRAIN,LOSS,58.723857189507875
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,12,TRAIN,ACC1,25.934999999999995
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,12,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,12,VALID,LOSS,74.03880523017699
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,12,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,13,TRAIN,LOSS,58.632221056887396
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,13,TRAIN,ACC1,26.097499999999997
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,13,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,13,VALID,LOSS,65.18819288927567
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,13,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,14,TRAIN,LOSS,58.762750665025045
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,14,TRAIN,ACC1,26.120833333333337
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,14,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,14,VALID,LOSS,38.61856977438075
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,14,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,15,TRAIN,LOSS,58.826434701511744
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,15,TRAIN,ACC1,25.8625
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,15,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,15,VALID,LOSS,64.24059108168592
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,15,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,16,TRAIN,LOSS,59.22702801056324
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,16,TRAIN,ACC1,26.02583333333334
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,16,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,16,VALID,LOSS,60.871882552751536
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,16,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,17,TRAIN,LOSS,58.51898385066855
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,17,TRAIN,ACC1,26.30083333333333
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,17,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,17,VALID,LOSS,57.04573518596535
agnews,rcnn,sgd_l1_e20_w0.0001_m0.9_nt,1,17,VALID,ACC1,25.0
