DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,1,TRAIN,LOSS,77.04336080791202
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,1,TRAIN,ACC1,25.564166666666665
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,1,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,1,VALID,LOSS,114.66187830304584
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,2,TRAIN,LOSS,79.15676940985672
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,2,TRAIN,ACC1,25.509166666666673
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,2,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,2,VALID,LOSS,142.9647554811433
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,3,TRAIN,LOSS,79.26229345958767
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,3,TRAIN,ACC1,25.584166666666665
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,3,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,3,VALID,LOSS,112.83295914920943
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,3,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,4,TRAIN,LOSS,78.50904380942619
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,4,TRAIN,ACC1,25.534166666666668
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,4,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,4,VALID,LOSS,105.40156896374513
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,5,TRAIN,LOSS,78.84375658497034
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,5,TRAIN,ACC1,25.57166666666667
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,5,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,5,VALID,LOSS,99.70582075953588
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,5,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,6,TRAIN,LOSS,79.21025915609528
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,6,TRAIN,ACC1,25.491666666666667
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,6,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,6,VALID,LOSS,110.88654030363828
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,6,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,7,TRAIN,LOSS,78.85229289214273
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,7,TRAIN,ACC1,25.5625
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,7,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,7,VALID,LOSS,120.51220726110472
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,7,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,8,TRAIN,LOSS,79.44926076780888
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,8,TRAIN,ACC1,25.665000000000006
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,8,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nf,1,8,VALID,LOSS,88.62038314974924
