DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,1,TRAIN,LOSS,59.014471037278014
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,1,TRAIN,ACC1,26.295
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,1,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,1,VALID,LOSS,49.96964797232825
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,1,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,2,TRAIN,LOSS,58.46799690600093
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,2,TRAIN,ACC1,26.805
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,2,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,2,VALID,LOSS,78.06583179866375
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,2,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,3,TRAIN,LOSS,58.871375738707826
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,3,TRAIN,ACC1,27.089166666666664
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,3,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,3,VALID,LOSS,66.37781956202097
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,3,VALID,ACC1,25.013157894736835
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,4,TRAIN,LOSS,57.65024311396648
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,4,TRAIN,ACC1,28.175833333333333
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,4,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,4,VALID,LOSS,56.39171982609888
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,4,VALID,ACC1,25.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,5,TRAIN,LOSS,58.32596976450764
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,5,TRAIN,ACC1,27.505833333333328
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,5,HYPER,LR,1.0
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,5,VALID,LOSS,52.69378149169429
agnews,rcnn,sgd_l1_e20_w0_m0.9_nt,1,5,VALID,ACC1,25.0
